nominal;data;curs;cdx
1;20.01.2026;1,1595;EUR/USD
1;17.01.2026;1,1632;EUR/USD
1;16.01.2026;1,1692;EUR/USD
1;15.01.2026;1,1734;EUR/USD
1;14.01.2026;1,1718;EUR/USD
1;13.01.2026;1,1672;EUR/USD
1;31.12.2025;1,1773;EUR/USD
1;30.12.2025;1,1812;EUR/USD
1;27.12.2025;1,1739;EUR/USD
1;26.12.2025;1,1798;EUR/USD
1;25.12.2025;1,1790;EUR/USD
1;24.12.2025;1,1811;EUR/USD
1;23.12.2025;1,1708;EUR/USD
1;20.12.2025;1,1708;EUR/USD
1;19.12.2025;1,1777;EUR/USD
1;18.12.2025;1,1713;EUR/USD
1;17.12.2025;1,1810;EUR/USD
1;16.12.2025;1,1734;EUR/USD
1;13.12.2025;1,1735;EUR/USD
1;12.12.2025;1,1714;EUR/USD
1;11.12.2025;1,1731;EUR/USD
1;10.12.2025;1,1643;EUR/USD
1;09.12.2025;1,1609;EUR/USD
1;06.12.2025;1,1657;EUR/USD
1;05.12.2025;1,1680;EUR/USD
1;04.12.2025;1,1621;EUR/USD
1;03.12.2025;1,1599;EUR/USD
1;02.12.2025;1,1627;EUR/USD
1;29.11.2025;1,1609;EUR/USD
1;28.11.2025;1,1602;EUR/USD
1;27.11.2025;1,1643;EUR/USD
1;26.11.2025;1,1521;EUR/USD
1;25.11.2025;1,1577;EUR/USD
1;22.11.2025;1,1460;EUR/USD
1;21.11.2025;1,1471;EUR/USD
1;20.11.2025;1,1586;EUR/USD
1;19.11.2025;1,1588;EUR/USD
1;18.11.2025;1,1638;EUR/USD
1;15.11.2025;1,1722;EUR/USD
1;14.11.2025;1,1625;EUR/USD
1;13.11.2025;1,1588;EUR/USD
1;12.11.2025;1,1578;EUR/USD
1;11.11.2025;1,1594;EUR/USD
1;08.11.2025;1,1553;EUR/USD
1;07.11.2025;1,1522;EUR/USD
1;06.11.2025;1,1518;EUR/USD
1;02.11.2025;1,1545;EUR/USD
1;01.11.2025;1,1533;EUR/USD
1;31.10.2025;1,1601;EUR/USD
1;30.10.2025;1,1608;EUR/USD
1;29.10.2025;1,1644;EUR/USD
1;28.10.2025;1,1651;EUR/USD
1;25.10.2025;1,1619;EUR/USD
1;24.10.2025;1,1614;EUR/USD
1;23.10.2025;1,1604;EUR/USD
1;22.10.2025;1,1637;EUR/USD
1;21.10.2025;1,1601;EUR/USD
1;18.10.2025;1,1679;EUR/USD
1;17.10.2025;1,1644;EUR/USD
1;16.10.2025;1,1635;EUR/USD
1;15.10.2025;1,1591;EUR/USD
1;14.10.2025;1,1616;EUR/USD
1;11.10.2025;1,1584;EUR/USD
1;10.10.2025;1,1633;EUR/USD
1;09.10.2025;1,1642;EUR/USD
1;08.10.2025;1,1677;EUR/USD
1;07.10.2025;1,1667;EUR/USD
1;04.10.2025;1,1728;EUR/USD
1;03.10.2025;1,1769;EUR/USD
1;02.10.2025;1,1735;EUR/USD
1;01.10.2025;1,1726;EUR/USD
1;30.09.2025;1,1722;EUR/USD
1;27.09.2025;1,1683;EUR/USD
1;26.09.2025;1,1740;EUR/USD
1;25.09.2025;1,1739;EUR/USD
1;24.09.2025;1,1882;EUR/USD
1;23.09.2025;1,1779;EUR/USD
1;20.09.2025;1,1830;EUR/USD
1;19.09.2025;1,1900;EUR/USD
1;18.09.2025;1,1843;EUR/USD
1;17.09.2025;1,1817;EUR/USD
1;16.09.2025;1,1731;EUR/USD
1;13.09.2025;1,1772;EUR/USD
1;12.09.2025;1,1643;EUR/USD
1;11.09.2025;1,1755;EUR/USD
1;10.09.2025;1,1777;EUR/USD
1;09.09.2025;1,1728;EUR/USD
1;06.09.2025;1,1707;EUR/USD
1;05.09.2025;1,1658;EUR/USD
1;04.09.2025;1,1658;EUR/USD
1;03.09.2025;1,1643;EUR/USD
1;02.09.2025;1,1736;EUR/USD
1;30.08.2025;1,1707;EUR/USD
1;29.08.2025;1,1644;EUR/USD
1;28.08.2025;1,1604;EUR/USD
1;27.08.2025;1,1595;EUR/USD
1;26.08.2025;1,1708;EUR/USD
1;23.08.2025;1,1595;EUR/USD
1;22.08.2025;1,1651;EUR/USD
1;21.08.2025;1,1670;EUR/USD
1;20.08.2025;1,1645;EUR/USD
1;19.08.2025;1,1699;EUR/USD
1;16.08.2025;1,1710;EUR/USD
1;15.08.2025;1,1667;EUR/USD
1;14.08.2025;1,1732;EUR/USD
1;13.08.2025;1,1626;EUR/USD
1;12.08.2025;1,1667;EUR/USD
1;09.08.2025;1,1642;EUR/USD
1;08.08.2025;1,1673;EUR/USD
1;07.08.2025;1,1598;EUR/USD
1;06.08.2025;1,1557;EUR/USD
1;05.08.2025;1,1588;EUR/USD
1;02.08.2025;1,1416;EUR/USD
1;01.08.2025;1,1439;EUR/USD
1;31.07.2025;1,1603;EUR/USD
1;30.07.2025;1,1554;EUR/USD
1;29.07.2025;1,1713;EUR/USD
1;26.07.2025;1,1734;EUR/USD
1;25.07.2025;1,1835;EUR/USD
1;24.07.2025;1,1701;EUR/USD
1;23.07.2025;1,1753;EUR/USD
1;22.07.2025;1,1683;EUR/USD
1;19.07.2025;1,1631;EUR/USD
1;18.07.2025;1,1635;EUR/USD
1;17.07.2025;1,1617;EUR/USD
1;16.07.2025;1,1693;EUR/USD
1;15.07.2025;1,1710;EUR/USD
1;12.07.2025;1,1699;EUR/USD
1;11.07.2025;1,1745;EUR/USD
1;10.07.2025;1,1694;EUR/USD
1;09.07.2025;1,1765;EUR/USD
1;08.07.2025;1,1740;EUR/USD
1;05.07.2025;1,1798;EUR/USD
1;04.07.2025;1,1821;EUR/USD
1;03.07.2025;1,1783;EUR/USD
1;02.07.2025;1,1827;EUR/USD
1;01.07.2025;1,1750;EUR/USD
1;28.06.2025;1,1760;EUR/USD
1;27.06.2025;1,1719;EUR/USD
1;26.06.2025;1,1645;EUR/USD
1;25.06.2025;1,1703;EUR/USD
1;24.06.2025;1,1475;EUR/USD
1;21.06.2025;1,1482;EUR/USD
1;20.06.2025;1,1447;EUR/USD
1;19.06.2025;1,1473;EUR/USD
1;18.06.2025;1,1530;EUR/USD
1;17.06.2025;1,1584;EUR/USD
1;12.06.2025;1,1393;EUR/USD
1;11.06.2025;1,1424;EUR/USD
1;10.06.2025;1,1417;EUR/USD
1;07.06.2025;1,1418;EUR/USD
1;06.06.2025;1,1458;EUR/USD
1;05.06.2025;1,1377;EUR/USD
1;04.06.2025;1,1404;EUR/USD
1;03.06.2025;1,1422;EUR/USD
1;31.05.2025;1,1353;EUR/USD
1;30.05.2025;1,1331;EUR/USD
1;29.05.2025;1,1348;EUR/USD
1;28.05.2025;1,1417;EUR/USD
1;27.05.2025;1,1356;EUR/USD
1;24.05.2025;1,1356;EUR/USD
1;23.05.2025;1,1312;EUR/USD
1;22.05.2025;1,1448;EUR/USD
1;21.05.2025;1,1203;EUR/USD
1;20.05.2025;1,1256;EUR/USD
1;17.05.2025;1,1230;EUR/USD
1;16.05.2025;1,1219;EUR/USD
1;15.05.2025;1,1266;EUR/USD
1;14.05.2025;1,1135;EUR/USD
1;13.05.2025;1,1140;EUR/USD
1;08.05.2025;1,1395;EUR/USD
1;07.05.2025;1,1353;EUR/USD
1;06.05.2025;1,1342;EUR/USD
1;01.05.2025;1,1392;EUR/USD
1;30.04.2025;1,1424;EUR/USD
1;29.04.2025;1,1288;EUR/USD
1;26.04.2025;1,1416;EUR/USD
1;25.04.2025;1,1431;EUR/USD
1;24.04.2025;1,1482;EUR/USD
1;23.04.2025;1,1544;EUR/USD
