nominal;data;curs;cdx
1;20.01.2026;77,7586;Доллар США
1;17.01.2026;77,8332;Доллар США
1;16.01.2026;78,5280;Доллар США
1;15.01.2026;78,5711;Доллар США
1;14.01.2026;78,8527;Доллар США
1;13.01.2026;78,7913;Доллар США
1;31.12.2025;78,2267;Доллар США
1;30.12.2025;77,4466;Доллар США
1;27.12.2025;77,6923;Доллар США
1;26.12.2025;77,8844;Доллар США
1;25.12.2025;78,4368;Доллар США
1;24.12.2025;78,5850;Доллар США
1;23.12.2025;79,3146;Доллар США
1;20.12.2025;80,7220;Доллар США
1;19.12.2025;80,0301;Доллар США
1;18.12.2025;80,3807;Доллар США
1;17.12.2025;79,4302;Доллар США
1;16.12.2025;79,4495;Доллар США
1;13.12.2025;79,7296;Доллар США
1;12.12.2025;79,3398;Доллар США
1;11.12.2025;77,8998;Доллар США
1;10.12.2025;76,8084;Доллар США
1;09.12.2025;77,2733;Доллар США
1;06.12.2025;76,0937;Доллар США
1;05.12.2025;76,9708;Доллар США
1;04.12.2025;77,9556;Доллар США
1;03.12.2025;77,4631;Доллар США
1;02.12.2025;77,7027;Доллар США
1;29.11.2025;78,2284;Доллар США
1;28.11.2025;78,2503;Доллар США
1;27.11.2025;78,5941;Доллар США
1;26.11.2025;78,9615;Доллар США
1;25.11.2025;78,9202;Доллар США
1;22.11.2025;79,0246;Доллар США
1;21.11.2025;80,7321;Доллар США
1;20.11.2025;80,9448;Доллар США
1;19.11.2025;81,0547;Доллар США
1;18.11.2025;81,1302;Доллар США
1;15.11.2025;81,1276;Доллар США
1;14.11.2025;80,6010;Доллар США
1;13.11.2025;81,2852;Доллар США
1;12.11.2025;81,3562;Доллар США
1;11.11.2025;81,0132;Доллар США
1;08.11.2025;81,2257;Доллар США
1;07.11.2025;81,3765;Доллар США
1;06.11.2025;81,1885;Доллар США
1;02.11.2025;80,8861;Доллар США
1;01.11.2025;80,9756;Доллар США
1;31.10.2025;80,5037;Доллар США
1;30.10.2025;79,4715;Доллар США
1;29.10.2025;79,8174;Доллар США
1;28.10.2025;78,9848;Доллар США
1;25.10.2025;80,9713;Доллар США
1;24.10.2025;81,2690;Доллар США
1;23.10.2025;81,6549;Доллар США
1;22.10.2025;81,3475;Доллар США
1;21.10.2025;81,3582;Доллар США
1;18.10.2025;80,9834;Доллар США
1;17.10.2025;79,0839;Доллар США
1;16.10.2025;78,8390;Доллар США
1;15.10.2025;79,9589;Доллар США
1;14.10.2025;80,8548;Доллар США
1;11.10.2025;81,1898;Доллар США
1;10.10.2025;81,4103;Доллар США
1;09.10.2025;81,5478;Доллар США
1;08.10.2025;81,9349;Доллар США
1;07.10.2025;83,0000;Доллар США
1;04.10.2025;81,8969;Доллар США
1;03.10.2025;81,0085;Доллар США
1;02.10.2025;81,4967;Доллар США
1;01.10.2025;82,6084;Доллар США
1;30.09.2025;82,8676;Доллар США
1;27.09.2025;83,6118;Доллар США
1;26.09.2025;83,6069;Доллар США
1;25.09.2025;83,9914;Доллар США
1;24.09.2025;83,3506;Доллар США
1;23.09.2025;84,0186;Доллар США
1;20.09.2025;83,5904;Доллар США
1;19.09.2025;83,1725;Доллар США
1;18.09.2025;82,9987;Доллар США
1;17.09.2025;82,8359;Доллар США
1;16.09.2025;83,0718;Доллар США
1;13.09.2025;84,3798;Доллар США
1;12.09.2025;85,6647;Доллар США
1;11.09.2025;84,9211;Доллар США
1;10.09.2025;83,2425;Доллар США
1;09.09.2025;82,3397;Доллар США
1;06.09.2025;81,5556;Доллар США
1;05.09.2025;81,2977;Доллар США
1;04.09.2025;80,8488;Доллар США
1;03.09.2025;80,5947;Доллар США
1;02.09.2025;80,4261;Доллар США
1;30.08.2025;80,3316;Доллар США
1;29.08.2025;80,2918;Доллар США
1;28.08.2025;80,4421;Доллар США
1;27.08.2025;80,5268;Доллар США
1;26.08.2025;80,6842;Доллар США
1;23.08.2025;80,7498;Доллар США
1;22.08.2025;80,2548;Доллар США
1;21.08.2025;80,1045;Доллар США
1;20.08.2025;80,3466;Доллар США
1;19.08.2025;80,4256;Доллар США
1;16.08.2025;80,0224;Доллар США
1;15.08.2025;79,7653;Доллар США
1;14.08.2025;79,6032;Доллар США
1;13.08.2025;79,8714;Доллар США
1;12.08.2025;79,6677;Доллар США
1;09.08.2025;79,7796;Доллар США
1;08.08.2025;79,3847;Доллар США
1;07.08.2025;80,1914;Доллар США
1;06.08.2025;80,0490;Доллар США
1;05.08.2025;79,6736;Доллар США
1;02.08.2025;80,3289;Доллар США
1;01.08.2025;80,3163;Доллар США
1;31.07.2025;81,8347;Доллар США
1;30.07.2025;82,2197;Доллар США
1;29.07.2025;79,5782;Доллар США
1;26.07.2025;79,5527;Доллар США
1;25.07.2025;78,8623;Доллар США
1;24.07.2025;78,4477;Доллар США
1;23.07.2025;78,0882;Доллар США
1;22.07.2025;78,3274;Доллар США
1;19.07.2025;78,3129;Доллар США
1;18.07.2025;78,1856;Доллар США
1;17.07.2025;77,9585;Доллар США
1;16.07.2025;77,9584;Доллар США
1;15.07.2025;78,3722;Доллар США
1;12.07.2025;77,8855;Доллар США
1;11.07.2025;77,9029;Доллар США
1;10.07.2025;78,1727;Доллар США
1;09.07.2025;78,1682;Доллар США
1;08.07.2025;78,7185;Доллар США
1;05.07.2025;78,8354;Доллар США
1;04.07.2025;78,7831;Доллар США
1;03.07.2025;78,6540;Доллар США
1;02.07.2025;78,4181;Доллар США
1;01.07.2025;78,5284;Доллар США
1;28.06.2025;78,4685;Доллар США
1;27.06.2025;78,2117;Доллар США
1;26.06.2025;78,1959;Доллар США
1;25.06.2025;78,3892;Доллар США
1;24.06.2025;78,2923;Доллар США
1;21.06.2025;78,5016;Доллар США
1;20.06.2025;78,4839;Доллар США
1;19.06.2025;78,7174;Доллар США
1;18.06.2025;78,7135;Доллар США
1;17.06.2025;78,5067;Доллар США
1;12.06.2025;79,0028;Доллар США
1;11.06.2025;78,6003;Доллар США
1;10.06.2025;79,1543;Доллар США
1;07.06.2025;79,1703;Доллар США
1;06.06.2025;79,1272;Доллар США
1;05.06.2025;78,5025;Доллар США
1;04.06.2025;78,8549;Доллар США
1;03.06.2025;79,1285;Доллар США
1;31.05.2025;78,6171;Доллар США
1;30.05.2025;78,4970;Доллар США
1;29.05.2025;79,6037;Доллар США
1;28.05.2025;79,6176;Доллар США
1;27.05.2025;79,6588;Доллар США
1;24.05.2025;79,7108;Доллар США
1;23.05.2025;79,7357;Доллар США
1;22.05.2025;79,7530;Доллар США
1;21.05.2025;80,3075;Доллар США
1;20.05.2025;80,4137;Доллар США
1;17.05.2025;80,7689;Доллар США
1;16.05.2025;80,3134;Доллар США
1;15.05.2025;80,2237;Доллар США
1;14.05.2025;80,5500;Доллар США
1;13.05.2025;80,8883;Доллар США
1;08.05.2025;80,8612;Доллар США
1;07.05.2025;80,9644;Доллар США
1;06.05.2025;81,9137;Доллар США
1;01.05.2025;81,4933;Доллар США
1;30.04.2025;81,5616;Доллар США
1;29.04.2025;82,5467;Доллар США
1;26.04.2025;82,6549;Доллар США
1;25.04.2025;82,8559;Доллар США
1;24.04.2025;82,3637;Доллар США
1;23.04.2025;81,4620;Доллар США
1;22.04.2025;80,7597;Доллар США
1;19.04.2025;81,1371;Доллар США
1;18.04.2025;82,0200;Доллар США
1;17.04.2025;82,5892;Доллар США
1;16.04.2025;82,3003;Доллар США
1;15.04.2025;82,7671;Доллар США
1;12.04.2025;84,0040;Доллар США
1;11.04.2025;85,0159;Доллар США
1;10.04.2025;86,0923;Доллар США
1;09.04.2025;85,4641;Доллар США
1;08.04.2025;86,1891;Доллар США
1;05.04.2025;84,2774;Доллар США
1;04.04.2025;84,3830;Доллар США
1;03.04.2025;84,5522;Доллар США
1;02.04.2025;84,8707;Доллар США
1;01.04.2025;85,4963;Доллар США
1;29.03.2025;83,6813;Доллар США
1;28.03.2025;83,8347;Доллар США
1;27.03.2025;84,2065;Доллар США
1;26.03.2025;84,1930;Доллар США
1;25.03.2025;83,8737;Доллар США
1;22.03.2025;84,6400;Доллар США
1;21.03.2025;84,3955;Доллар США
1;20.03.2025;82,8487;Доллар США
1;19.03.2025;81,5018;Доллар США
1;18.03.2025;84,3059;Доллар США
1;15.03.2025;85,5694;Доллар США
1;14.03.2025;86,6190;Доллар США
1;13.03.2025;86,6204;Доллар США
1;12.03.2025;86,5669;Доллар США
1;11.03.2025;88,3872;Доллар США
1;08.03.2025;89,1362;Доллар США
1;07.03.2025;89,5724;Доллар США
1;06.03.2025;89,7878;Доллар США
1;05.03.2025;89,2448;Доллар США
1;04.03.2025;89,2497;Доллар США
1;01.03.2025;88,2568;Доллар США
1;28.02.2025;87,6967;Доллар США
1;27.02.2025;85,9279;Доллар США
1;26.02.2025;86,6318;Доллар США
1;25.02.2025;88,2065;Доллар США
1;22.02.2025;88,1676;Доллар США
1;21.02.2025;88,5103;Доллар США
1;20.02.2025;90,4268;Доллар США
1;19.02.2025;91,3398;Доллар США
1;18.02.2025;91,4347;Доллар США
1;15.02.2025;90,3099;Доллар США
1;14.02.2025;91,0313;Доллар США
1;13.02.2025;94,0485;Доллар США
1;12.02.2025;95,8024;Доллар США
1;11.02.2025;96,7821;Доллар США
1;08.02.2025;97,2762;Доллар США
1;07.02.2025;96,9104;Доллар США
1;06.02.2025;98,0556;Доллар США
1;05.02.2025;98,5336;Доллар США
1;04.02.2025;99,9433;Доллар США
1;01.02.2025;97,8107;Доллар США
1;31.01.2025;98,0062;Доллар США
1;30.01.2025;98,0126;Доллар США
1;29.01.2025;97,9658;Доллар США
1;28.01.2025;97,1320;Доллар США
1;25.01.2025;98,2636;Доллар США
1;24.01.2025;99,0978;Доллар США
1;23.01.2025;98,2804;Доллар США
1;22.01.2025;99,9282;Доллар США
1;21.01.2025;101,9579;Доллар США
1;18.01.2025;102,4137;Доллар США
1;17.01.2025;102,3762;Доллар США
1;16.01.2025;102,8078;Доллар США
1;15.01.2025;103,4380;Доллар США
1;14.01.2025;102,7081;Доллар США
1;11.01.2025;101,9146;Доллар США
1;10.01.2025;102,2911;Доллар США
1;29.12.2024;101,6797;Доллар США
1;28.12.2024;100,5281;Доллар США
1;27.12.2024;99,2295;Доллар США
1;26.12.2024;99,6125;Доллар США
1;25.12.2024;99,8729;Доллар США
1;24.12.2024;101,6143;Доллар США
1;21.12.2024;102,3438;Доллар США
1;20.12.2024;103,4207;Доллар США
1;19.12.2024;102,7763;Доллар США
1;18.12.2024;102,9979;Доллар США
1;17.12.2024;102,9125;Доллар США
1;14.12.2024;103,4305;Доллар США
1;13.12.2024;103,9500;Доллар США
1;12.12.2024;103,2707;Доллар США
1;11.12.2024;100,0324;Доллар США
1;10.12.2024;99,3759;Доллар США
1;07.12.2024;99,4215;Доллар США
1;06.12.2024;103,3837;Доллар США
1;05.12.2024;104,2361;Доллар США
1;04.12.2024;106,1878;Доллар США
1;03.12.2024;107,1758;Доллар США
1;30.11.2024;107,7409;Доллар США
1;29.11.2024;109,5782;Доллар США
1;28.11.2024;108,0104;Доллар США
1;27.11.2024;105,0604;Доллар США
1;26.11.2024;103,7908;Доллар США
1;23.11.2024;102,5761;Доллар США
1;22.11.2024;100,6798;Доллар США
1;21.11.2024;100,2192;Доллар США
1;20.11.2024;100,0348;Доллар США
1;19.11.2024;99,9430;Доллар США
1;16.11.2024;99,9971;Доллар США
1;15.11.2024;99,0180;Доллар США
1;14.11.2024;98,3657;Доллар США
1;13.11.2024;97,9559;Доллар США
1;12.11.2024;97,9550;Доллар США
1;09.11.2024;97,8335;Доллар США
1;08.11.2024;98,0726;Доллар США
1;07.11.2024;98,2236;Доллар США
1;06.11.2024;98,0562;Доллар США
1;03.11.2024;97,5499;Доллар США
1;02.11.2024;97,4402;Доллар США
1;01.11.2024;97,0226;Доллар США
1;31.10.2024;97,0530;Доллар США
1;30.10.2024;97,3261;Доллар США
1;29.10.2024;97,2300;Доллар США
1;26.10.2024;96,6657;Доллар США
1;25.10.2024;96,7402;Доллар США
1;24.10.2024;96,6379;Доллар США
1;23.10.2024;96,5918;Доллар США
1;22.10.2024;96,0924;Доллар США
1;19.10.2024;96,4172;Доллар США
1;18.10.2024;97,1490;Доллар США
1;17.10.2024;97,2568;Доллар США
1;16.10.2024;97,0121;Доллар США
1;15.10.2024;96,1021;Доллар США
1;12.10.2024;96,0686;Доллар США
1;11.10.2024;97,2394;Доллар США
1;10.10.2024;96,9483;Доллар США
1;09.10.2024;96,1079;Доллар США
1;08.10.2024;96,0649;Доллар США
1;05.10.2024;94,8700;Доллар США
1;04.10.2024;95,0262;Доллар США
1;03.10.2024;94,5054;Доллар США
1;02.10.2024;93,3581;Доллар США
1;01.10.2024;93,2221;Доллар США
1;28.09.2024;92,7126;Доллар США
1;27.09.2024;92,4074;Доллар США
1;26.09.2024;92,3880;Доллар США
1;25.09.2024;92,8622;Доллар США
1;24.09.2024;92,9200;Доллар США
1;21.09.2024;92,5848;Доллар США
1;20.09.2024;92,6962;Доллар США
1;19.09.2024;91,6712;Доллар США
1;18.09.2024;91,4292;Доллар США
1;17.09.2024;91,1423;Доллар США
1;14.09.2024;90,9345;Доллар США
1;13.09.2024;91,1096;Доллар США
1;12.09.2024;91,2653;Доллар США
1;11.09.2024;91,1127;Доллар США
1;10.09.2024;90,3853;Доллар США
1;07.09.2024;89,8225;Доллар США
1;06.09.2024;89,7044;Доллар США
1;05.09.2024;88,9288;Доллар США
