date,0d,1m,2m,3m,6m,9m,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y
2014-01-02,2.0697,4.8457,4.6709,4.6113,4.1864,4.1651,4.2251,4.3497,4.4538,4.5139,4.5068,4.6583,4.6111,4.626,4.6251,4.6018
2014-01-03,2.0447,5.1367,4.789,4.5792,4.1306,4.1625,4.231,4.3792,4.4237,4.522,4.5169,4.6583,4.6398,4.646,4.6488,4.6415
2014-01-06,1.9587,5.4107,4.7464,4.5453,4.1116,4.1408,4.2132,4.3982,4.4051,4.5339,4.5293,4.7085,4.6698,4.666,4.6772,4.6569
2014-01-07,1.9587,5.2607,4.6691,4.5358,4.1017,4.1466,4.2503,4.3528,4.3692,4.5339,4.5143,4.6885,4.6328,4.666,4.6696,4.642
2014-01-08,1.9587,4.9857,4.4682,4.4064,4.0223,4.0754,4.181,4.2895,4.3568,4.5189,4.4712,4.6735,4.5847,4.646,4.6593,4.5919
2014-01-09,1.9587,5.3177,4.5811,4.3059,4.047,4.0693,4.1839,4.3132,4.3292,4.4889,4.4508,4.6387,4.5745,4.626,4.6345,4.5969
2014-01-10,1.9587,4.9982,4.3291,4.1223,4.0371,4.0165,4.1339,4.3099,4.3286,4.5073,4.4414,4.6377,4.5703,4.626,4.6145,4.6016
2014-01-13,1.9587,4.9482,4.2092,3.9306,3.898,3.9252,4.0615,4.2981,4.3333,4.499,4.4387,4.649,4.5853,4.636,4.6352,4.597
2014-01-14,1.9602,4.953,4.1935,3.8998,3.8975,3.8944,4.0384,4.288,4.308,4.4889,4.4163,4.659,4.5861,4.646,4.6487,4.602
2014-01-15,1.972,4.953,4.1609,3.8356,3.8705,3.8043,3.9984,4.2484,4.2896,4.4737,4.3677,4.6239,4.5282,4.6282,4.6487,4.5523
2014-01-16,1.993,4.904,4.2102,3.9661,3.8884,3.7743,3.9584,4.2482,4.2667,4.4739,4.3733,4.629,4.5521,4.6382,4.6591,4.5871
2014-01-17,2.0377,5.175,4.3207,3.9161,3.8384,3.757,3.9163,4.2003,4.2509,4.4802,4.375,4.6481,4.5652,4.6582,4.66,4.5969
2014-01-20,2.6087,5.383,4.4804,4.0386,3.9323,3.784,3.891,4.1934,4.2196,4.4587,4.3814,4.6493,4.5568,4.6427,4.67,4.5923
2014-01-21,2.3617,5.338,4.313,3.9123,3.8026,3.6546,3.7799,4.097,4.172,4.374,4.3482,4.5678,4.4941,4.6222,4.6183,4.5423
2014-01-22,2.3967,4.861,4.0259,3.8176,3.7258,3.6035,3.73,3.9885,4.0635,4.3089,4.2856,4.5293,4.4783,4.5972,4.5974,4.5023
2014-01-23,2.4207,4.719,3.9531,3.8321,3.7754,3.6527,3.6974,3.8882,4.0481,4.3488,4.32,4.549,4.4779,4.5972,4.5742,4.4825
2014-01-24,2.44,4.719,3.9031,3.7321,3.686,3.6037,3.678,3.7958,3.9817,4.323,4.3074,4.5589,4.4919,4.6003,4.602,4.5123
2014-01-26,3.1207,4.897,3.9638,3.6755,3.6318,3.5519,3.639,3.7892,3.9317,4.271,4.272,4.5087,4.4392,4.5803,4.5788,4.4777
2014-01-27,3.2547,4.732,4.0586,3.6979,3.5818,3.5266,3.6054,3.7472,3.9292,4.2486,4.2261,4.5003,4.4262,4.5603,4.5609,4.4802
2014-01-28,3.5684,5.035,4.0989,3.6961,3.5378,3.5264,3.6054,3.8001,4.035,4.2311,4.2154,4.5277,4.4454,4.5479,4.5485,4.5027
2014-01-29,3.5207,4.894,4.1048,3.6875,3.5178,3.5263,3.6044,3.798,4.0191,4.238,4.2262,4.5343,4.4345,4.5477,4.5494,4.5102
2014-01-30,3.1557,3.9885,4.0136,3.6419,3.5178,3.5163,3.6094,3.818,4.0398,4.238,4.2185,4.5412,4.4353,4.5477,4.5494,4.5019
2014-02-07,2.9907,3.968,3.7636,3.5673,3.4501,3.4528,3.5653,3.768,3.9405,4.2176,4.1888,4.5188,4.4048,4.534,4.5294,4.4781
2014-02-08,2.9707,4.229,3.4764,3.4494,3.4945,3.4804,3.5839,3.7775,3.9405,4.2216,4.1885,4.488,4.4104,4.534,4.511,4.468
2014-02-10,3.0242,4.217,3.3764,3.3794,3.4544,3.458,3.5039,3.7046,3.9215,4.2469,4.2098,4.4912,4.4125,4.544,4.5185,4.4831
2014-02-11,2.8577,4.126,3.3861,3.4094,3.4544,3.5026,3.5517,3.7292,3.9386,4.2548,4.2092,4.4807,4.4043,4.544,4.5295,4.4881
2014-02-12,2.7457,4.018,3.2886,3.3645,3.4105,3.4627,3.5448,3.7252,3.9031,4.2471,4.1914,4.4751,4.4087,4.544,4.5408,4.4783
2014-02-13,2.2897,3.997,3.3386,3.2945,3.3605,3.366,3.4683,3.7076,3.8334,4.2519,4.1864,4.4629,4.4015,4.5399,4.5508,4.4783
2014-02-14,1.8487,3.861,3.3571,3.2747,3.3514,3.39,3.4654,3.6807,3.7912,4.2201,4.1913,4.4718,4.4002,4.5483,4.5508,4.4781
2014-02-17,1.6217,3.833,3.33,3.2747,3.3634,3.3823,3.4339,3.6694,3.8212,4.2336,4.2099,4.497,4.422,4.5584,4.578,4.5135
2014-02-18,1.3907,3.7665,3.28,3.2947,3.3781,3.3323,3.4061,3.6639,3.8303,4.2226,4.2429,4.512,4.4377,4.5584,4.5816,4.5385
2014-02-19,1.1137,3.7622,3.3137,3.2737,3.3531,3.3313,3.3925,3.6461,3.8503,4.2226,4.2452,4.522,4.4497,4.5735,4.5944,4.5535
2014-02-20,0.6917,3.588,3.2595,3.2237,3.303,3.2823,3.3585,3.6351,3.8468,4.2326,4.2291,4.5263,4.4427,4.5738,4.5848,4.5336
2014-02-21,0.4747,3.544,3.1993,3.1937,3.273,3.2823,3.3523,3.6251,3.8243,4.1976,4.1938,4.5252,4.4443,4.5734,4.5763,4.5234
