date,0d,3m,6m,1y,3y,5y,7y,10y
2017-12-31,4.3,3.8294,3.9067,3.7909,3.7808,3.8445,3.8998,3.8807
2017-12-30,4.3,3.887,3.9067,3.7909,3.7808,3.8445,3.8998,3.8807
2017-12-29,4.3,3.9446,3.9067,3.7909,3.7808,3.8445,3.8998,3.8807
2017-12-28,4.3,3.9929,3.9343,3.7955,3.8063,3.8446,3.915,3.8857
2017-12-27,4.3,3.9842,3.9411,3.7979,3.8112,3.844,3.915,3.8956
2017-12-26,4.3,3.9902,3.9519,3.7979,3.811,3.8333,3.915,3.8881
2017-12-25,4.3,3.9582,3.9454,3.7979,3.7951,3.8133,3.915,3.8731
2017-12-22,4.3,3.9649,3.9505,3.7979,3.8,3.8335,3.9026,3.878
2017-12-21,4.3,3.9712,3.96,3.7979,3.7943,3.8393,3.9038,3.9005
2017-12-20,4.3,3.9805,3.9986,3.8029,3.7907,3.8403,3.9196,3.9005
2017-12-19,4.3,3.9709,3.981,3.773,3.7507,3.8327,3.9392,3.9005
2017-12-18,4.3,3.9762,3.9786,3.7631,3.7654,3.8263,3.9391,3.8904
2017-12-15,4.3,3.9713,3.9606,3.7781,3.7653,3.8518,3.944,3.8904
2017-12-14,4.3,4.021,4.0,3.7781,3.7709,3.8886,3.9591,3.9104
2017-12-13,4.3,4.001,4.0119,3.7846,3.7911,3.9031,3.9693,3.9303
2017-12-12,4.3,3.9708,3.9818,3.7647,3.7766,3.9195,3.9694,3.9378
2017-12-11,4.3,3.9679,3.9807,3.7548,3.7717,3.8986,3.9595,3.9303
2017-12-08,4.3,3.9593,3.9054,3.7546,3.7554,3.8512,3.9147,3.9102
2017-12-07,4.3,3.9498,3.8322,3.7348,3.7452,3.8362,3.8995,3.8927
2017-12-06,4.3,3.95,3.8148,3.7442,3.7452,3.8044,3.8898,3.8752
2017-12-05,4.3,3.9271,3.7615,3.6342,3.7608,3.7983,3.8898,3.8752
2017-12-04,4.3,3.9285,3.7694,3.6305,3.7661,3.8061,3.8949,3.8902
2017-12-01,4.3,3.9268,3.76,3.6344,3.7658,3.8136,3.9145,3.8852
2017-11-30,4.3,3.8997,3.768,3.6404,3.7759,3.8444,3.9196,3.8901
2017-11-29,4.3,3.8998,3.7833,3.6801,3.7741,3.8705,3.9396,3.9101
2017-11-28,4.3,3.8999,3.7833,3.7,3.7836,3.8909,3.9699,3.9601
2017-11-27,4.3,3.8543,3.7701,3.6905,3.7787,3.8859,3.9747,3.9501
2017-11-24,4.3,3.7776,3.7217,3.6688,3.7686,3.8857,3.9695,3.9463
2017-11-23,4.3,3.7009,3.7124,3.6498,3.7804,3.9164,3.9899,3.9851
2017-11-22,4.3,3.6903,3.699,3.6403,3.7852,3.9163,4.0295,3.985
2017-11-21,4.3,3.6746,3.6825,3.6203,3.7699,3.8879,3.9846,3.95
2017-11-20,4.3,3.6797,3.6686,3.6101,3.7547,3.8806,3.9746,3.94
2017-11-17,4.3,3.6982,3.6752,3.6154,3.7449,3.8647,3.9545,3.92
2017-11-16,4.3,3.6317,3.6502,3.6154,3.7333,3.8651,3.9597,3.9225
2017-11-15,4.3,3.6412,3.6566,3.6154,3.7435,3.8955,3.9896,3.95
2017-11-14,4.3,3.5754,3.5939,3.5955,3.7745,3.9279,4.0096,3.9525
2017-11-13,4.3,3.5708,3.5939,3.5922,3.7488,3.9361,3.9996,3.95
2017-11-10,4.3,3.5691,3.5939,3.5922,3.7212,3.905,3.9594,3.9
2017-11-09,4.3,3.5553,3.4849,3.5787,3.7024,3.8926,3.9347,3.8863
2017-11-08,4.3,3.5399,3.5034,3.5927,3.7018,3.888,3.9222,3.8725
2017-11-07,4.3,3.4788,3.5039,3.5994,3.681,3.9203,3.9247,3.8813
2017-11-06,4.3,3.4917,3.4992,3.5977,3.6758,3.8871,3.9083,3.8694
2017-11-03,4.3,3.4992,3.5017,3.576,3.6812,3.887,3.9196,3.8816
2017-11-02,4.3,3.5074,3.5109,3.5791,3.6911,3.8772,3.9147,3.8718
2017-11-01,4.3,3.503,3.5121,3.5792,3.6808,3.8529,3.9048,3.863
2017-10-31,4.3,3.4831,3.499,3.5683,3.721,3.8826,3.9397,3.8917
2017-10-30,4.3,3.4602,3.499,3.5532,3.7308,3.9117,3.9498,3.9115
2017-10-27,4.3,3.432,3.4333,3.5194,3.6583,3.8211,3.8548,3.8266
2017-10-26,4.3,3.3578,3.4236,3.5127,3.6463,3.7661,3.8096,3.7769
2017-10-25,4.3,3.3492,3.4089,3.4969,3.6478,3.766,3.8198,3.7768
2017-10-24,4.3,3.2871,3.4056,3.4844,3.6124,3.7107,3.7748,3.722
2017-10-23,4.3,3.2893,3.4363,3.4856,3.6044,3.7254,3.7724,3.7231
2017-10-20,4.3,3.2887,3.4133,3.4836,3.6012,3.7246,3.7599,3.7217
2017-10-19,4.3,3.2658,3.4059,3.4937,3.5927,3.7334,3.7599,3.7167
2017-10-18,4.3,3.2624,3.4276,3.4962,3.6145,3.7588,3.7799,3.7366
2017-10-17,4.3,3.2164,3.3946,3.5037,3.6108,3.7647,3.7749,3.7409
2017-10-16,4.3,3.24,3.3876,3.4966,3.5896,3.7268,3.7449,3.7054
2017-10-13,4.3,3.2034,3.3898,3.4881,3.5801,3.6782,3.7049,3.674
2017-10-12,4.3,3.1668,3.37,3.4891,3.5984,3.6769,3.71,3.6765
2017-10-11,4.3,3.1815,3.3752,3.4788,3.5796,3.6462,3.6975,3.654
2017-10-10,4.3,3.2103,3.3946,3.4914,3.5892,3.6413,3.701,3.647
2017-10-09,4.3,3.2192,3.3748,3.4826,3.5846,3.6376,3.6999,3.6477
2017-09-30,4.3,3.161,3.3543,3.466,3.5669,3.6166,3.688,3.6136
2017-09-29,4.3,3.1606,3.3545,3.4585,3.5514,3.6044,3.6843,3.6136
2017-09-28,4.3,3.1606,3.3581,3.4579,3.5729,3.6049,3.684,3.6136
2017-09-27,4.3,3.0853,3.3581,3.4566,3.5741,3.6216,3.6885,3.6235
2017-09-26,4.3,3.1245,3.3681,3.4477,3.5692,3.6166,3.6873,3.6172
2017-09-25,4.3,3.0552,3.3777,3.4686,3.5661,3.6008,3.6881,3.5985
2017-09-22,4.3,3.0618,3.3701,3.4674,3.5762,3.6155,3.696,3.6209
2017-09-21,4.3,3.061,3.3737,3.4715,3.5931,3.6399,3.7184,3.6334
2017-09-20,4.3,3.068,3.3695,3.4661,3.5785,3.6235,3.7059,3.6209
2017-09-19,4.3,3.0258,3.3689,3.4759,3.5484,3.6146,3.6936,3.6158
2017-09-18,4.3,3.0303,3.3672,3.4695,3.5334,3.6289,3.6986,3.622
2017-09-15,4.3,3.0126,3.3787,3.4759,3.5217,3.5995,3.6688,3.5982
2017-09-14,4.3,3.0342,3.3924,3.4803,3.523,3.5968,3.6689,3.5982
2017-09-13,4.3,3.0429,3.3779,3.4912,3.5264,3.622,3.6916,3.6356
2017-09-12,4.3,3.0094,3.3382,3.4832,3.5161,3.5895,3.6864,3.6181
2017-09-11,4.3,2.997,3.3299,3.4771,3.5191,3.5918,3.6864,3.6156
2017-09-08,4.3,2.9667,3.3479,3.4625,3.512,3.5811,3.6739,3.6005
2017-09-07,4.3,3.0045,3.3154,3.4837,3.542,3.6056,3.689,3.6155
2017-09-06,4.3,2.9742,3.3744,3.5062,3.5719,3.6314,3.7142,3.6554
2017-09-05,4.3,2.9284,3.3743,3.4214,3.5843,3.6403,3.7286,3.6641
2017-09-04,4.3,2.9352,3.3742,3.3959,3.5816,3.6235,3.7117,3.6454
2017-09-01,4.3,2.9691,3.3418,3.3909,3.5761,3.6181,3.7041,3.6353
2017-08-31,4.3,3.0032,3.3656,3.3883,3.5797,3.6124,3.7016,3.6265
2017-08-30,4.3,3.0631,3.3664,3.3957,3.5852,3.6227,3.7116,3.6303
2017-08-29,4.3,2.9158,3.3034,3.3609,3.5873,3.6222,3.7091,3.6303
2017-08-28,4.3,2.8842,3.3331,3.3605,3.5876,3.6463,3.7217,3.6502
2017-08-25,4.3,2.906,3.317,3.361,3.5607,3.6107,3.7092,3.6327
2017-08-24,4.3,2.8336,3.3005,3.3468,3.5394,3.6084,3.7043,3.6252
