date,0d,1m,2m,3m,6m,9m,1y,3y,5y,7y,10y
2022-01-04,1.6744,1.9903,2.0484,2.0722,2.171,2.1749,2.2529,2.4438,2.6127,2.785,2.7855
2022-01-05,1.7344,1.9059,2.0473,2.0704,2.1637,2.1765,2.2284,2.449,2.6423,2.8008,2.8045
2022-01-06,1.7644,1.9055,2.0197,2.0413,2.1663,2.1879,2.2303,2.4812,2.6585,2.818,2.8205
2022-01-07,1.7591,1.9119,2.0041,2.0476,2.1549,2.1504,2.2295,2.4734,2.6544,2.8155,2.8181
2022-01-10,1.78,1.919,2.011,2.0517,2.14,2.14,2.2143,2.4513,2.6281,2.8011,2.8056
2022-01-11,1.7369,1.929,2.0,2.0046,2.113,2.1405,2.1957,2.4229,2.6096,2.7852,2.7957
2022-01-12,1.7249,1.9447,1.9979,2.004,2.114,2.1392,2.1898,2.4231,2.6104,2.7872,2.7957
2022-01-13,1.9,1.9946,2.0026,2.0254,2.1221,2.1426,2.1812,2.4266,2.6026,2.7733,2.7858
2022-01-14,1.8687,1.9999,2.0025,2.0258,2.1154,2.1432,2.1721,2.4298,2.6125,2.775,2.7935
2022-01-17,1.8408,1.9919,2.0012,2.0201,2.1074,2.1236,2.1566,2.4162,2.5922,2.7696,2.786
2022-01-18,1.75,1.9682,1.98,1.98,2.0638,2.08,2.0501,2.3542,2.4895,2.7092,2.7415
2022-01-19,1.7599,1.9373,1.9021,1.9319,1.9856,2.0394,2.0401,2.332,2.4895,2.7032,2.7314
2022-01-20,1.86,1.9191,1.9,1.9216,1.9753,2.0135,2.0204,2.3038,2.4745,2.6847,2.7271
2022-01-21,1.888,1.9037,1.8846,1.875,1.89,1.9749,2.0018,2.2614,2.4295,2.6596,2.71
2022-01-24,1.76,1.826,1.8,1.8002,1.8643,1.9492,1.9502,2.2188,2.3527,2.6213,2.6751
2022-01-25,1.66,1.7058,1.7597,1.8017,1.8503,1.9848,1.9656,2.261,2.4006,2.6435,2.6979
2022-01-26,1.66,1.6989,1.7037,1.7724,1.8818,1.985,1.9807,2.2653,2.4188,2.673,2.7146
2022-01-27,1.66,1.7068,1.7308,1.7967,1.8938,1.9699,1.9936,2.2815,2.4215,2.6893,2.7348
2022-01-28,1.64,1.6868,1.7312,1.7876,1.8941,1.955,1.9507,2.2415,2.3815,2.6587,2.7021
2022-01-29,1.695,1.695,1.7312,1.7876,1.8941,1.9453,1.9512,2.2327,2.3682,2.6521,2.7013
2022-01-30,1.73,1.73,1.7354,1.7756,1.8882,1.9455,1.9514,2.2318,2.3634,2.6555,2.6997
2022-02-07,1.5505,1.5505,1.5967,1.6644,1.8225,1.9248,1.9472,2.2697,2.4142,2.6769,2.7256
2022-02-08,1.4825,1.5578,1.592,1.6529,1.8268,1.8938,1.9049,2.278,2.4193,2.6801,2.7227
2022-02-09,1.35,1.5621,1.5958,1.6608,1.8254,1.8775,1.9001,2.299,2.4345,2.6902,2.7328
2022-02-10,1.339,1.5267,1.5838,1.6198,1.8054,1.8463,1.8837,2.2965,2.4318,2.6903,2.7328
2022-02-11,1.478,1.53,1.5911,1.5933,1.7991,1.8653,1.9192,2.3465,2.5001,2.7605,2.7891
2022-02-14,1.45,1.4591,1.5392,1.582,1.7935,1.8526,1.9017,2.359,2.5214,2.784,2.8018
2022-02-15,1.4571,1.4662,1.5849,1.6052,1.7821,1.8266,1.8847,2.3472,2.5169,2.7791,2.7968
2022-02-16,1.5,1.5178,1.6194,1.7065,1.89,1.89,1.9279,2.3281,2.497,2.7626,2.7892
2022-02-17,1.5,1.5287,1.6282,1.7528,1.92,1.92,1.9095,2.3013,2.4799,2.7493,2.7799
2022-02-18,1.6,1.6006,1.6265,1.8269,1.94,1.94,1.9781,2.3088,2.5086,2.7669,2.7975
2022-02-21,1.61,1.6122,1.7925,1.8256,1.96,1.96,2.0326,2.3408,2.5701,2.8175,2.83
2022-02-22,1.6,1.6171,1.8021,1.8689,1.9682,2.0059,2.1162,2.3561,2.6007,2.8164,2.82
2022-02-23,1.55,1.6686,1.8219,1.9322,1.9613,1.9912,2.0935,2.3486,2.5608,2.7865,2.79
2022-02-24,1.7,1.7085,1.8437,1.9574,1.9862,2.0043,2.0948,2.3386,2.5561,2.7875,2.7875
2022-02-25,1.734,1.848,1.9015,1.9334,1.98,1.98,2.0242,2.295,2.5274,2.7662,2.775
2022-02-28,1.8,1.8894,1.8999,1.9,2.0,2.0,2.0442,2.293,2.5105,2.7697,2.775
2022-03-01,1.7286,1.7781,1.8766,1.8962,2.0028,2.0095,2.0537,2.303,2.5419,2.7973,2.8025
2022-03-02,1.7452,1.796,1.8619,1.9139,2.0137,2.0425,2.0867,2.3156,2.5651,2.8088,2.8175
2022-03-03,1.6967,1.7652,1.8929,1.9103,2.0448,2.0743,2.1167,2.3407,2.5958,2.8283,2.83
2022-03-04,1.6682,1.7817,1.8444,1.8864,2.0356,2.065,2.1074,2.3309,2.5705,2.8108,2.8125
2022-03-07,1.65,1.7165,1.7993,1.8013,2.0018,2.0425,2.0849,2.3312,2.5546,2.8038,2.8126
2022-03-08,1.57,1.6319,1.7498,1.7446,1.9725,2.0262,2.0687,2.3017,2.5422,2.8103,2.8276
2022-03-09,1.65,1.688,1.7496,1.8902,2.034,2.1109,2.115,2.3165,2.568,2.8254,2.8426
2022-03-10,1.55,1.667,1.8552,1.9004,2.0453,2.1122,2.115,2.3265,2.5888,2.8329,2.8502
2022-03-11,1.565,1.7238,1.8813,1.9006,2.0353,2.0824,2.0863,2.3227,2.5153,2.7696,2.7902
