date,B1,B2,B3,T1,G1,G2,G3,G4,G5,G6,G7,G8,G9
2016-02-10,968.559841,-201.624244,237.708634,0.485504,-0.239782,0.967014,-2.570118,-0.783779,13.592333,0.155482,-6.281955,0.0,0.0
2016-02-11,973.037471,-191.512957,240.590327,0.591006,0.039987,1.894355,-6.683286,1.674745,15.2976,1.488138,-5.135414,0.0,0.0
2016-02-12,969.73653,-191.169015,238.579597,0.491675,0.018043,1.455981,-8.08667,0.642586,12.482115,1.367888,-3.40577,0.0,0.0
2016-02-15,959.855102,-184.875999,244.264544,0.554012,0.050302,0.344807,-1.37912,1.731688,15.958223,-0.237713,-5.954813,0.0,0.0
2016-02-16,962.236236,-189.286034,237.487009,0.445207,0.019268,0.559649,-11.669579,2.519749,15.05644,2.429272,-2.467971,0.0,0.0
2016-02-17,958.984353,-197.430546,227.362571,0.305548,0.460333,-1.033687,-9.046738,4.568967,13.386511,0.185876,-4.119263,0.0,0.0
2016-02-18,943.835267,-183.082691,237.789582,0.409978,1.076961,-1.464844,-4.920433,7.779421,10.476772,-1.695829,-5.025045,0.0,0.0
2016-02-19,944.302919,-181.3267,235.214854,0.379218,3.187731,-3.455231,-6.191434,3.095832,8.474511,2.265045,-1.76345,0.0,0.0
2016-02-20,943.446388,-177.784012,234.509796,0.506104,1.00628,-1.673039,0.010195,2.22215,3.709315,-1.061399,-2.215281,0.0,0.0
2016-02-22,939.013225,-172.78685,234.099077,0.534932,6.164768,-1.991328,-7.359865,-0.415899,12.295744,-1.752876,-6.4036,0.0,0.0
2016-02-24,936.088662,-156.048576,229.533659,0.30707,2.699557,-2.929259,-8.434145,3.778278,12.095298,-0.393553,-3.898448,0.0,0.0
2016-02-25,918.27722,-120.127592,236.914124,0.305825,6.930332,-0.447307,-9.508161,2.584528,11.076554,-0.815725,-4.953587,0.0,0.0
2016-02-26,908.167222,-103.851616,238.25189,0.301899,10.349956,-2.42659,-10.746313,0.616132,11.353587,1.103267,-3.865021,0.0,0.0
2016-02-29,905.420623,-101.489933,221.425691,0.347596,2.309558,-7.830434,-10.37394,-1.009306,13.818611,3.734201,-1.697375,0.0,0.0
2016-03-01,885.244464,-88.828747,196.526357,0.333131,2.167751,-6.121563,-5.351556,7.323386,7.93254,-1.099419,-1.659298,0.0,0.0
2016-03-02,885.155038,-73.186366,181.847913,0.322573,1.000635,-4.831456,-6.067345,2.995235,8.957155,0.396414,-1.580123,0.0,0.0
2016-03-03,880.431198,-64.836463,168.101738,0.3499,2.084606,-5.893762,-7.931876,0.692118,6.293825,1.929465,-0.61516,0.0,0.0
2016-03-04,874.277399,-55.628767,153.79116,0.302835,3.440203,-5.884788,-8.342799,1.025364,8.974045,1.518784,-2.455066,0.0,0.0
2016-03-07,873.800667,-38.648073,156.913712,0.350933,14.332937,3.224126,-12.393306,-0.018158,4.590492,-0.436743,-3.184357,0.0,0.0
2016-03-09,873.452411,-29.804167,150.98898,0.300073,3.421172,-3.039913,-5.754211,1.293789,6.452455,0.780074,-1.786432,0.0,0.0
2016-03-10,875.857583,-11.403406,135.824471,0.35221,4.880105,-4.945246,-7.085747,-1.615081,6.56274,4.034846,-0.706627,0.0,0.0
2016-03-11,879.876723,-10.282425,124.665349,0.302478,-0.097618,-4.161391,-12.514828,-6.10362,9.702609,6.046314,-0.127318,0.0,0.0
2016-03-14,889.466991,-15.412934,110.591951,0.306516,0.010545,-5.850442,-6.819284,-3.373836,8.775385,4.562668,-0.434782,0.0,0.0
2016-03-15,899.183682,-25.838671,94.139568,0.405155,-0.4042,-2.687417,-5.432977,-1.360454,6.959251,3.544212,-0.334215,0.0,0.0
2016-03-16,896.854473,-28.056252,91.995719,0.329042,-0.072957,-1.072223,-2.770268,1.556303,2.643249,-0.016859,-1.492153,0.0,0.0
2016-03-17,871.687252,-5.326023,99.213843,0.338219,0.050888,7.590036,-2.107751,-2.817172,-0.213353,-2.160027,-2.064007,0.0,0.0
2016-03-18,852.379749,18.706499,114.036627,0.522283,0.453786,0.215522,2.73719,-2.927552,-0.722339,1.863716,-0.443982,0.0,0.0
2016-03-21,856.404228,26.593781,119.74964,0.454734,0.01285,0.333702,0.705637,1.313665,-3.676777,-0.371815,0.893916,0.0,0.0
2016-03-22,854.011796,36.66955,127.292521,0.461339,-0.041523,-0.518024,-0.245237,0.895768,-1.811257,0.730412,0.693993,0.0,0.0
2016-03-23,870.521473,34.893151,127.451134,0.373138,0.020669,0.055345,1.617969,-4.479447,-1.85213,3.049837,1.767209,0.0,0.0
2016-03-24,878.322249,23.516164,119.251364,0.359046,-0.033684,-0.55809,2.017855,-1.071013,-2.324719,0.727143,0.996667,0.0,0.0
2016-03-25,869.325031,37.713327,126.067485,0.45075,0.020698,2.628909,-2.472949,-0.911818,-1.559284,0.330219,0.395051,0.0,0.0
2016-03-28,867.436279,27.581016,141.779442,0.429928,-4.888507,6.362516,-6.149511,-0.506316,2.365112,1.519429,1.507914,0.0,0.0
2016-03-29,874.314834,34.250856,145.866451,0.314673,-0.399201,1.943341,-3.816613,1.870999,0.506937,0.840239,0.80447,0.0,0.0
2016-03-30,862.674094,46.213997,154.241956,0.370177,-0.069063,3.152051,-0.588363,-1.400332,1.648859,-0.832319,-1.187978,0.0,0.0
2016-03-31,856.14807,56.123397,176.423845,0.485117,-6.545811,16.032653,-0.328373,-4.101406,-2.50686,-0.659976,-0.466926,0.0,0.0
2016-04-01,858.297795,38.488362,206.237938,0.434862,-6.921923,12.262557,-3.47309,-3.991711,0.659933,1.839484,1.397591,0.0,0.0
2016-04-04,858.071213,39.075784,221.104625,0.483006,-3.04886,5.005032,-2.956238,-3.155229,-1.799695,0.717993,0.8532,0.0,0.0
2016-04-05,868.994599,35.029673,227.112315,0.321722,-0.946393,0.911029,-3.071156,-1.19438,-0.203172,1.948071,1.144373,0.0,0.0
2016-04-06,868.628883,31.296665,224.746806,0.313726,0.419216,0.989108,-3.071609,1.436141,-0.56772,-0.807925,-0.105282,0.0,0.0
2016-04-07,878.661539,25.555532,211.489458,0.306055,-0.708537,-7.543392,-2.269167,-0.796345,-2.021803,3.069871,2.812665,0.0,0.0
2016-04-08,869.981321,31.056375,197.07226,0.360818,-0.157348,-3.531055,-1.816369,3.784751,-0.582727,0.97378,1.259059,0.0,0.0
2016-04-11,869.843196,37.600252,182.209048,0.30408,0.834207,-6.489975,-2.550085,6.311056,-0.484754,-0.545604,-0.494784,0.0,0.0
2016-04-12,867.191125,48.192856,163.332032,0.351554,1.624426,-5.367215,1.227864,1.200485,0.280042,1.166327,-0.617249,0.0,0.0
2016-04-13,872.348872,46.368432,149.153577,0.317649,2.455079,-4.408792,2.116677,4.522713,-0.679091,0.415069,0.456541,0.0,0.0
2016-04-14,875.381207,61.651457,139.145598,0.304919,6.421814,-4.402917,-1.768245,2.968889,0.436026,-1.115015,-1.027621,0.0,0.0
2016-04-15,874.024153,63.96271,121.474746,0.370644,0.473241,-1.601145,1.895172,2.38566,-2.60302,0.043679,0.296494,0.0,0.0
2016-04-18,877.03593,70.853351,110.088091,0.326483,3.371921,-1.470224,-1.383776,3.595183,-0.766693,-1.322171,-1.210551,0.0,0.0
2016-04-19,870.451322,73.04056,106.658848,0.324201,-0.267985,-2.163372,2.693421,2.012853,0.398433,0.79115,-0.489833,0.0,0.0
2016-04-20,867.805169,75.96047,95.623929,0.304094,5.515278,-3.598613,-0.165884,3.974644,-1.026534,-2.331164,-1.886086,0.0,0.0
2016-04-21,869.431736,105.968464,67.739618,0.305628,1.773241,-8.874459,0.788743,7.818442,-0.729438,-0.608715,-0.865013,0.0,0.0
2016-04-22,873.103753,111.165472,54.367085,0.300592,2.643399,-4.579965,0.192132,4.208556,0.313594,-0.487171,0.022103,0.0,0.0
2016-04-25,876.998223,111.988628,45.833126,0.312488,1.089036,-4.041155,1.784354,3.011749,-1.181283,0.051206,-0.342479,0.0,0.0
2016-04-26,877.096993,112.160092,40.706658,0.33598,0.835706,-1.632469,1.923911,1.457446,-0.825279,0.08915,-0.009278,0.0,0.0
2016-04-27,874.508337,128.111713,34.921488,0.306484,0.907714,-3.752239,2.870358,4.477684,-0.774285,-1.121898,-0.556917,0.0,0.0
2016-04-28,856.562424,112.63002,28.682071,0.61775,0.606977,-3.27737,-0.11285,6.484712,-3.04144,-2.035464,-1.196544,0.0,0.0
2016-04-29,828.963116,124.282385,26.926922,1.156779,3.376198,-2.986132,-2.430252,8.176101,-6.980388,-0.317206,1.280565,0.0,0.0
2016-05-04,839.861208,117.280877,25.112192,1.085566,1.003952,1.091765,-3.567074,3.039239,-0.351685,0.895208,0.971342,0.0,0.0
2016-05-05,836.008093,97.625662,33.356218,1.439789,-0.058253,-1.227015,-0.317209,4.885722,-5.390427,0.044028,1.097056,0.0,0.0
2016-05-06,833.123511,91.600499,37.036646,1.549872,-0.416597,0.150411,-0.138294,1.549445,-1.052685,-0.755098,-0.01075,0.0,0.0
2016-05-10,831.929605,91.262987,40.50545,1.575057,-3.246272,1.19341,4.116013,1.229203,-1.453933,1.120644,1.417486,0.0,0.0
2016-05-11,823.467548,98.365356,58.552884,1.337177,-1.125621,-1.281673,5.887932,0.4487,-3.63061,-1.190986,0.792719,0.0,0.0
2016-05-12,816.397288,79.124757,90.719668,1.456349,-11.224308,5.515317,8.956006,1.139369,-2.211559,0.267643,-0.031327,0.0,0.0
