date,0y,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y
2014-02-14,0.06,0.0917,0.3879,0.7836,1.1842,1.5555,1.8889,2.1853,2.4493,2.6857,2.8992
2014-02-18,0.06,0.0828,0.371,0.763,1.1621,1.533,1.8663,2.1629,2.4271,2.6639,2.8776
2014-02-19,0.06,0.0935,0.3822,0.7748,1.1745,1.5458,1.8795,2.1764,2.4408,2.6777,2.8915
2014-02-20,0.06,0.1021,0.3973,0.7937,1.1955,1.5681,1.9026,2.2,2.4648,2.7019,2.9158
2014-02-21,0.06,0.0968,0.3912,0.7873,1.1891,1.5618,1.8964,2.1939,2.4588,2.696,2.91
2014-02-24,0.06,0.1029,0.4006,0.7977,1.1996,1.572,1.9062,2.2033,2.4678,2.7046,2.9183
2014-02-25,0.06,0.0958,0.3868,0.7788,1.1768,1.5463,1.8782,2.1737,2.4368,2.6727,2.8857
2014-02-26,0.07,0.0859,0.3698,0.7569,1.1515,1.5185,1.8486,2.1427,2.4049,2.64,2.8525
2014-02-27,0.07,0.0818,0.3627,0.7463,1.1377,1.5021,1.8301,2.1225,2.3833,2.6173,2.8289
2014-02-28,0.07,0.091,0.3739,0.7575,1.148,1.5112,1.8381,2.1295,2.3895,2.6229,2.8339
2014-03-03,0.07,0.0848,0.3589,0.7356,1.1208,1.4799,1.8038,2.0928,2.351,2.5829,2.7929
2014-03-04,0.07,0.1038,0.3913,0.7758,1.1657,1.5278,1.8535,2.1438,2.4028,2.6353,2.8456
2014-03-05,0.07,0.1086,0.3985,0.7847,1.1759,1.539,1.8655,2.1563,2.4157,2.6485,2.859
2014-03-06,0.07,0.1159,0.4148,0.8068,1.2019,1.5676,1.8959,2.188,2.4483,2.6818,2.8928
2014-03-07,0.07,0.1347,0.4482,0.8488,1.2493,1.6184,1.949,2.2426,2.504,2.7382,2.9497
2014-03-10,0.07,0.1308,0.4481,0.8513,1.2535,1.6239,1.9554,2.2497,2.5116,2.7462,2.9579
2014-03-11,0.07,0.1275,0.4444,0.8469,1.2483,1.6181,1.9489,2.2428,2.5043,2.7386,2.9501
2014-03-12,0.08,0.1154,0.4257,0.8236,1.2217,1.589,1.9182,2.2108,2.4714,2.705,2.916
2014-03-13,0.08,0.1021,0.3994,0.7881,1.1796,1.5421,1.8677,2.1577,2.4163,2.6484,2.8582
2014-03-14,0.08,0.1068,0.4021,0.7873,1.1754,1.5348,1.8578,2.1457,2.4026,2.6333,2.8421
2014-03-17,0.08,0.1226,0.425,0.8132,1.2022,1.5618,1.8845,2.1719,2.4283,2.6585,2.8669
2014-03-18,0.08,0.1174,0.419,0.806,1.1938,1.5524,1.8743,2.161,2.4169,2.6467,2.8548
2014-03-19,0.08,0.1736,0.506,0.9064,1.2993,1.6592,1.9807,2.2663,2.5208,2.7491,2.9557
2014-03-20,0.08,0.174,0.5146,0.9192,1.3145,1.6756,1.9978,2.2838,2.5385,2.767,2.9736
2014-03-21,0.08,0.1701,0.5129,0.9172,1.3111,1.6708,1.9915,2.2763,2.53,2.7576,2.9636
2014-03-24,0.08,0.1788,0.527,0.9311,1.3227,1.6795,1.9975,2.2799,2.5315,2.7574,2.9619
2014-03-25,0.08,0.1781,0.5301,0.9351,1.3264,1.6824,1.9996,2.2812,2.5321,2.7574,2.9614
2014-03-26,0.08,0.1565,0.5011,0.9022,1.2916,1.6466,1.9634,2.2448,2.4957,2.7211,2.9252
2014-03-27,0.08,0.1541,0.4983,0.897,1.2836,1.6359,1.9504,2.2298,2.4792,2.7033,2.9065
2014-03-28,0.08,0.1661,0.5198,0.9226,1.3107,1.6635,1.9777,2.2568,2.5058,2.7295,2.9322
2014-03-31,0.08,0.1627,0.516,0.9198,1.3093,1.6634,1.979,2.2592,2.509,2.7334,2.9367
2014-04-01,0.08,0.1609,0.5184,0.9263,1.3193,1.6763,1.9942,2.2762,2.5274,2.753,2.9572
2014-04-02,0.08,0.1743,0.5468,0.9637,1.3624,1.7231,2.0434,2.327,2.5794,2.8057,3.0105
2014-04-03,0.08,0.1648,0.5404,0.9601,1.361,1.7234,2.0451,2.3299,2.5832,2.8103,3.0156
2014-04-04,0.08,0.1459,0.5091,0.922,1.3191,1.6794,1.9998,2.2839,2.5368,2.7636,2.9689
2014-04-07,0.08,0.1371,0.4896,0.8962,1.2895,1.6473,1.9662,2.2491,2.5013,2.7276,2.9325
2014-04-08,0.08,0.137,0.4835,0.8854,1.2751,1.6303,1.947,2.2283,2.4793,2.7047,2.9088
2014-04-09,0.08,0.1284,0.4693,0.8699,1.2601,1.6163,1.9344,2.2169,2.4689,2.6952,2.9002
2014-04-10,0.08,0.1143,0.4405,0.8332,1.2189,1.5726,1.8892,2.1708,2.4223,2.6483,2.8531
2014-04-11,0.08,0.1139,0.4334,0.8216,1.2042,1.5558,1.8707,2.1513,2.4019,2.6273,2.8316
2014-04-14,0.08,0.1223,0.4439,0.8325,1.2148,1.5658,1.8802,2.1602,2.4103,2.6353,2.8392
2014-04-15,0.08,0.1266,0.4508,0.8393,1.2206,1.5703,1.8834,2.1623,2.4114,2.6356,2.8389
2014-04-16,0.09,0.1379,0.4693,0.8602,1.2417,1.5907,1.9029,2.1808,2.4291,2.6524,2.855
