Тенор,Время_в_годах,USD-DISCOUNT-USD-CSA,RUB-DISCOUNT-RUB-CSA,EUR-DISCOUNT-EUR-CSA,CNY-DISCOUNT-RUB-CSA,RUB-DISCOUNT-CNY-CSA,USD-DISCOUNT-RUB-CSA,RUB-DISCOUNT-USD-CSA,USD-DISCOUNT-EUR-CSA,RUB-DISCOUNT-EUR-CSA,EUR-DISCOUNT-USD-CSA,EUR-DISCOUNT-RUB-CSA,CNY-DISCOUNT-USD-CSA,CNY-DISCOUNT-EUR-CSA,USD-DISCOUNT-CNY-CSA,EUR-DISCOUNT-CNY-CSA,CNY-DISCOUNT-CNY-CSA
1W,0.0192,0.999295450887729,0.997083867928668,0.999629098704404,0.998864923603168,0.996704068241241,0.999908222724214,0.996472570018126,0.999330105025126,0.99650713597798,0.999594437376935,1.00021338901399,0.999720779540004,0.999755451927109,0.998059482580366,0.998358162980474,
2W,0.0384,0.9985925498264,0.994183493748694,0.999257338929352,0.997585990431072,0.993570568486324,0.999857753420148,0.99292510882452,0.998631494595095,0.992962845793645,0.999218398684195,1.0004797876789,,,,0.996768340566274,
1M,0.0833,0.996895947234929,0.987342783858051,0.998348185352826,0.994401527305714,0.986254778720794,0.999635760563583,0.984635614973359,0.996859947770441,0.984599792565514,0.998384250476356,1.00111651809835,0.998682823300257,0.998644930223374,0.991528473185286,0.993008875861168,0.993305659901376
2M,0.1666,0.99391964378105,0.975559385116217,0.996720989748707,0.988470157428878,0.975740690993863,0.999081715148945,0.970516874618388,0.993829820472741,0.970429746638319,0.996810934456234,1.00198863609427,0.997423096793197,0.99733010953086,0.98518376401415,0.988055071679029,
3M,0.2499,0.990864641647026,0.963529492681529,0.995012891071569,0.984859161441482,0.962929922380802,0.995583975789679,0.958960247569867,0.990677946947426,0.95877942627584,0.995200321108909,0.999974441685596,0.996158036229206,0.995970304664116,0.979013640188662,0.98329793978164,0.984245128626784
6M,0.4998,0.982164962964378,0.930104232712542,0.989775435238032,0.970336607584748,0.929547943412386,0.987904525096657,0.924698437060133,0.981445659152862,0.924020780269579,0.990500894933576,0.996248932062859,0.992397306206566,0.991670236230131,0.959753788022454,0.967900444442426,0.969756537529665
9M,0.7497,0.974550898157022,0.899211494548214,0.984355933966591,0.956308321780057,0.894640270388292,0.976724252162373,0.897210408342918,0.972588405680135,0.895402272102522,0.986343069476754,0.988545218364419,0.989063412452172,0.987070757890035,0.93747615442828,0.94882043221313,
1Y,1.0,0.966948280656922,0.872528133992021,0.97873199828624,0.934643997240272,0.871359884459806,0.965999380845886,0.873254926073339,0.966499411063053,0.872830343370706,0.979189434135816,0.978281652130496,0.98542402031718,0.984966708113139,0.915911092696481,0.927794853665192,0.933393865755482
2Y,2.0,0.938857103283281,0.772784113179036,0.957750782014677,0.873072245135379,0.771749743499127,0.935065834625268,0.775947047062755,0.938080591332174,0.775262521801567,0.958540727175787,0.954766914924407,0.971312336165064,0.970508404719482,0.842765488515464,0.86145292841463,0.871912084530626
3Y,3.0,0.910910957145544,0.67997152150904,0.935619715064981,0.815745593814071,0.67897644324337,0.908210964647138,0.681911309098396,0.909793372640434,0.680982934824878,0.936757115403824,0.93405114300007,0.957562537873818,0.956388022543684,0.774867654639463,0.798866643163901,0.814570644573819
4Y,4.0,0.881776081591162,0.597716358575041,0.912733989157959,0.762528779811059,0.596771465628238,0.875843281258812,0.602414038476121,0.880344194989036,0.601280191381184,0.91419614376449,0.908219250713722,0.94210047986508,0.940571049783644,0.712581564196645,0.741927773314903,0.761356138481699
5Y,5.0,0.852957775658861,0.526012182211264,0.889025726882391,0.712177741277754,0.52510372955683,0.843915082932632,0.53313646008046,0.851245027141673,0.531840401718651,0.890779880334069,0.881636991429659,0.925699944997382,0.923841238749689,0.655101543614302,0.688572038333746,0.711000534991656
6Y,6.0,0.823017131997565,0.464058572320094,0.864531516782716,,,0.809907970443912,0.474307994560698,0.821038231948285,0.472865444170569,0.866566195102158,0.853264864884141,,,,,
7Y,7.0,0.793183367767172,0.409052635785889,0.839629460574765,,,0.775702112240101,0.422523362714291,0.790956098767063,0.420954829318219,0.841928664897455,0.82413296449803,,,,,
8Y,8.0,0.763351222766852,0.363150388476504,0.81428607280281,,,0.742415621908775,0.378772796150701,0.760912892039837,0.377110431202561,0.816812858912024,0.795415311398021,,,,,
9Y,9.0,0.733580724859416,0.317538753036892,0.789019334892086,,,0.707163718448602,0.337134182649459,0.730951568349102,0.335400596585363,0.791755589274363,0.764682014786532,,,,,
10Y,10.0,0.703916934395898,0.280249919887529,0.763841429855157,,,0.673365676025868,0.302373507691212,0.701112717717088,0.300575592697146,0.766773969132636,0.735320688628007,,,,,
