Дата,Фиксинг
04.01.1999,0.03115
05.01.1999,0.03115
06.01.1999,0.03125
07.01.1999,0.03125
08.01.1999,0.03125
11.01.1999,0.03115
12.01.1999,0.03105
13.01.1999,0.03095
14.01.1999,0.03075
15.01.1999,0.03015
18.01.1999,0.02935
19.01.1999,0.02895
20.01.1999,0.02925
21.01.1999,0.02945
22.01.1999,0.02985
25.01.1999,0.03055
26.01.1999,0.03135
27.01.1999,0.03045
28.01.1999,0.03035
29.01.1999,0.03075
01.02.1999,0.03085
02.02.1999,0.03095
03.02.1999,0.03095
04.02.1999,0.03085
05.02.1999,0.03065
08.02.1999,0.03065
09.02.1999,0.03045
10.02.1999,0.03035
11.02.1999,0.03015
12.02.1999,0.02995
15.02.1999,0.02975
16.02.1999,0.02955
17.02.1999,0.02945
18.02.1999,0.02935
19.02.1999,0.02945
22.02.1999,0.02965
23.02.1999,0.03255
24.02.1999,0.03045
25.02.1999,0.03025
26.02.1999,0.03035
01.03.1999,0.03035
02.03.1999,0.03025
03.03.1999,0.02995
04.03.1999,0.02975
05.03.1999,0.02955
08.03.1999,0.02945
09.03.1999,0.02945
10.03.1999,0.02935
11.03.1999,0.02905
12.03.1999,0.02835
15.03.1999,0.02815
16.03.1999,0.02815
17.03.1999,0.02895
18.03.1999,0.02865
19.03.1999,0.02565
22.03.1999,0.02105
23.03.1999,0.02305
24.03.1999,0.02895
25.03.1999,0.02905
26.03.1999,0.02905
29.03.1999,0.02905
30.03.1999,0.02895
31.03.1999,0.02905
01.04.1999,0.02895
02.04.1999,0.02875
05.04.1999,0.02885
06.04.1999,0.02895
07.04.1999,0.02995
08.04.1999,0.03025
09.04.1999,0.02725
12.04.1999,0.02685
13.04.1999,0.02645
14.04.1999,0.02515
15.04.1999,0.02495
16.04.1999,0.02465
19.04.1999,0.02425
20.04.1999,0.02385
21.04.1999,0.02385
22.04.1999,0.02385
23.04.1999,0.02845
26.04.1999,0.02445
27.04.1999,0.02445
28.04.1999,0.02435
29.04.1999,0.02435
30.04.1999,0.02445
03.05.1999,0.02435
04.05.1999,0.02425
05.05.1999,0.02425
06.05.1999,0.02425
07.05.1999,0.02425
10.05.1999,0.02425
11.05.1999,0.02425
12.05.1999,0.02425
13.05.1999,0.02425
14.05.1999,0.02425
17.05.1999,0.02435
18.05.1999,0.02445
19.05.1999,0.02555
20.05.1999,0.02935
21.05.1999,0.02525
24.05.1999,0.02455
25.05.1999,0.02455
26.05.1999,0.02435
27.05.1999,0.02425
28.05.1999,0.02425
31.05.1999,0.02435
01.06.1999,0.02435
02.06.1999,0.02445
03.06.1999,0.02455
04.06.1999,0.02455
07.06.1999,0.02455
08.06.1999,0.02455
09.06.1999,0.02455
10.06.1999,0.02455
11.06.1999,0.02465
14.06.1999,0.02465
15.06.1999,0.02465
16.06.1999,0.02475
17.06.1999,0.02495
18.06.1999,0.02515
21.06.1999,0.02585
22.06.1999,0.02575
23.06.1999,0.02145
24.06.1999,0.02465
25.06.1999,0.02495
28.06.1999,0.02515
29.06.1999,0.02575
30.06.1999,0.02675
01.07.1999,0.02515
02.07.1999,0.02495
05.07.1999,0.02485
06.07.1999,0.02475
07.07.1999,0.02455
08.07.1999,0.02455
09.07.1999,0.02455
12.07.1999,0.02455
13.07.1999,0.02465
14.07.1999,0.02475
15.07.1999,0.02505
16.07.1999,0.02535
19.07.1999,0.02545
20.07.1999,0.02545
21.07.1999,0.02515
22.07.1999,0.01955
23.07.1999,0.01785
26.07.1999,0.02485
27.07.1999,0.02505
28.07.1999,0.02495
29.07.1999,0.02495
30.07.1999,0.02495
02.08.1999,0.02495
03.08.1999,0.02465
04.08.1999,0.02455
05.08.1999,0.02445
06.08.1999,0.02445
09.08.1999,0.02445
10.08.1999,0.02455
11.08.1999,0.02465
12.08.1999,0.02475
13.08.1999,0.02485
16.08.1999,0.02485
17.08.1999,0.02465
18.08.1999,0.02075
19.08.1999,0.01765
20.08.1999,0.01855
23.08.1999,0.01775
24.08.1999,0.02465
25.08.1999,0.02475
26.08.1999,0.02475
27.08.1999,0.02465
30.08.1999,0.02465
31.08.1999,0.02475
01.09.1999,0.02475
02.09.1999,0.02465
03.09.1999,0.02455
06.09.1999,0.02445
07.09.1999,0.02435
08.09.1999,0.02435
09.09.1999,0.02425
10.09.1999,0.02425
13.09.1999,0.02425
14.09.1999,0.02425
15.09.1999,0.02425
16.09.1999,0.02425
17.09.1999,0.02375
20.09.1999,0.01965
21.09.1999,0.02295
22.09.1999,0.01835
23.09.1999,0.01655
24.09.1999,0.02435
27.09.1999,0.02435
28.09.1999,0.02435
29.09.1999,0.02435
30.09.1999,0.02545
01.10.1999,0.02485
04.10.1999,0.02515
05.10.1999,0.02535
06.10.1999,0.02555
07.10.1999,0.02575
08.10.1999,0.02445
11.10.1999,0.02445
12.10.1999,0.02465
13.10.1999,0.02495
14.10.1999,0.02515
15.10.1999,0.02515
18.10.1999,0.02475
19.10.1999,0.02025
20.10.1999,0.02005
21.10.1999,0.01845
22.10.1999,0.01675
25.10.1999,0.02505
26.10.1999,0.02715
27.10.1999,0.02685
28.10.1999,0.02565
29.10.1999,0.02715
01.11.1999,0.02695
02.11.1999,0.02785
03.11.1999,0.02895
04.11.1999,0.02825
05.11.1999,0.02865
08.11.1999,0.02825
09.11.1999,0.02825
10.11.1999,0.02825
11.11.1999,0.02835
12.11.1999,0.02885
15.11.1999,0.02925
16.11.1999,0.02925
17.11.1999,0.02815
18.11.1999,0.02575
19.11.1999,0.02655
22.11.1999,0.02635
23.11.1999,0.03025
24.11.1999,0.02955
25.11.1999,0.02965
26.11.1999,0.02955
29.11.1999,0.02955
30.11.1999,0.03065
01.12.1999,0.02985
02.12.1999,0.02965
03.12.1999,0.02955
06.12.1999,0.02955
07.12.1999,0.02985
08.12.1999,0.02955
09.12.1999,0.02935
10.12.1999,0.02915
13.12.1999,0.02885
14.12.1999,0.02885
15.12.1999,0.02935
16.12.1999,0.02955
17.12.1999,0.02955
20.12.1999,0.02895
21.12.1999,0.02775
22.12.1999,0.02735
23.12.1999,0.02825
24.12.1999,0.02985
27.12.1999,0.02985
28.12.1999,0.02965
29.12.1999,0.02955
30.12.1999,0.03665
03.01.2000,0.02975
04.01.2000,0.02925
05.01.2000,0.02905
06.01.2000,0.02835
07.01.2000,0.02805
10.01.2000,0.02895
11.01.2000,0.02925
12.01.2000,0.02985
13.01.2000,0.02955
14.01.2000,0.02945
17.01.2000,0.02935
18.01.2000,0.02895
19.01.2000,0.02765
20.01.2000,0.02865
21.01.2000,0.03065
24.01.2000,0.03025
25.01.2000,0.03005
26.01.2000,0.02975
27.01.2000,0.03015
28.01.2000,0.03215
31.01.2000,0.03205
01.02.2000,0.03175
02.02.2000,0.03095
03.02.2000,0.03105
04.02.2000,0.03175
07.02.2000,0.03165
08.02.2000,0.03165
09.02.2000,0.03155
10.02.2000,0.03155
11.02.2000,0.03165
14.02.2000,0.03165
15.02.2000,0.03165
16.02.2000,0.03165
17.02.2000,0.03145
18.02.2000,0.03115
21.02.2000,0.03115
22.02.2000,0.03135
23.02.2000,0.03395
24.02.2000,0.03325
25.02.2000,0.03255
28.02.2000,0.03285
29.02.2000,0.03385
01.03.2000,0.03285
02.03.2000,0.03245
03.03.2000,0.03195
06.03.2000,0.03205
07.03.2000,0.03225
08.03.2000,0.03265
09.03.2000,0.03385
10.03.2000,0.03435
13.03.2000,0.03455
14.03.2000,0.03445
15.03.2000,0.03415
16.03.2000,0.03405
17.03.2000,0.03405
20.03.2000,0.03395
21.03.2000,0.03405
22.03.2000,0.03495
23.03.2000,0.03775
24.03.2000,0.03505
27.03.2000,0.03515
28.03.2000,0.03515
29.03.2000,0.03535
30.03.2000,0.03615
31.03.2000,0.03665
03.04.2000,0.03515
04.04.2000,0.03515
05.04.2000,0.03495
06.04.2000,0.03495
07.04.2000,0.03495
10.04.2000,0.03505
11.04.2000,0.03555
12.04.2000,0.03635
13.04.2000,0.03595
14.04.2000,0.03525
17.04.2000,0.03575
18.04.2000,0.03745
19.04.2000,0.03745
20.04.2000,0.03265
25.04.2000,0.03725
26.04.2000,0.03825
27.04.2000,0.03745
28.04.2000,0.03845
02.05.2000,0.03815
03.05.2000,0.03825
04.05.2000,0.03875
05.05.2000,0.03945
08.05.2000,0.03925
09.05.2000,0.03905
10.05.2000,0.03895
11.05.2000,0.03845
12.05.2000,0.03815
15.05.2000,0.03855
16.05.2000,0.03895
17.05.2000,0.03995
18.05.2000,0.03935
19.05.2000,0.03705
22.05.2000,0.03405
23.05.2000,0.02815
24.05.2000,0.03975
25.05.2000,0.03945
26.05.2000,0.03935
29.05.2000,0.03955
30.05.2000,0.03995
31.05.2000,0.04115
01.06.2000,0.04075
02.06.2000,0.04075
05.06.2000,0.04075
06.06.2000,0.04045
07.06.2000,0.03975
08.06.2000,0.04065
09.06.2000,0.04245
12.06.2000,0.04275
13.06.2000,0.04265
14.06.2000,0.04225
15.06.2000,0.04175
16.06.2000,0.04155
19.06.2000,0.04125
20.06.2000,0.04135
21.06.2000,0.04295
22.06.2000,0.04075
23.06.2000,0.04425
26.06.2000,0.04355
27.06.2000,0.04345
28.06.2000,0.04295
29.06.2000,0.04245
30.06.2000,0.04665
03.07.2000,0.04245
04.07.2000,0.04235
05.07.2000,0.04235
06.07.2000,0.04235
07.07.2000,0.04225
10.07.2000,0.04225
11.07.2000,0.04225
12.07.2000,0.04225
13.07.2000,0.04215
14.07.2000,0.04225
17.07.2000,0.04225
18.07.2000,0.04235
19.07.2000,0.04255
20.07.2000,0.04135
21.07.2000,0.03895
24.07.2000,0.04275
25.07.2000,0.04265
26.07.2000,0.04245
27.07.2000,0.04245
28.07.2000,0.04265
31.07.2000,0.04365
01.08.2000,0.04245
02.08.2000,0.04245
03.08.2000,0.04245
04.08.2000,0.04245
07.08.2000,0.04245
08.08.2000,0.04245
09.08.2000,0.04245
10.08.2000,0.04245
11.08.2000,0.04265
14.08.2000,0.04305
15.08.2000,0.04305
16.08.2000,0.04295
17.08.2000,0.04265
18.08.2000,0.04185
21.08.2000,0.04175
22.08.2000,0.04265
23.08.2000,0.03995
24.08.2000,0.04465
25.08.2000,0.04645
28.08.2000,0.04675
29.08.2000,0.04655
30.08.2000,0.04615
31.08.2000,0.04615
01.09.2000,0.04515
04.09.2000,0.04505
05.09.2000,0.04515
06.09.2000,0.04525
07.09.2000,0.04555
08.09.2000,0.04555
11.09.2000,0.04545
12.09.2000,0.04525
13.09.2000,0.04495
14.09.2000,0.04455
15.09.2000,0.04445
18.09.2000,0.04455
19.09.2000,0.04455
20.09.2000,0.04455
21.09.2000,0.04315
22.09.2000,0.04035
25.09.2000,0.04575
26.09.2000,0.04635
27.09.2000,0.04615
28.09.2000,0.04615
29.09.2000,0.04825
02.10.2000,0.04605
03.10.2000,0.04605
04.10.2000,0.04595
05.10.2000,0.04625
06.10.2000,0.04715
09.10.2000,0.04705
10.10.2000,0.04695
11.10.2000,0.04695
12.10.2000,0.04685
13.10.2000,0.04645
16.10.2000,0.04645
17.10.2000,0.04645
18.10.2000,0.04565
19.10.2000,0.04555
20.10.2000,0.04595
23.10.2000,0.04635
24.10.2000,0.04755
25.10.2000,0.04765
26.10.2000,0.04765
27.10.2000,0.04765
30.10.2000,0.04765
31.10.2000,0.04885
01.11.2000,0.04785
02.11.2000,0.04775
03.11.2000,0.04765
06.11.2000,0.04765
07.11.2000,0.04755
08.11.2000,0.04745
09.11.2000,0.04735
10.11.2000,0.04725
13.11.2000,0.04725
14.11.2000,0.04715
15.11.2000,0.04705
16.11.2000,0.04685
17.11.2000,0.04675
20.11.2000,0.04715
21.11.2000,0.04775
22.11.2000,0.04705
23.11.2000,0.04725
24.11.2000,0.04745
27.11.2000,0.04755
28.11.2000,0.04765
29.11.2000,0.04775
30.11.2000,0.04855
01.12.2000,0.04755
04.12.2000,0.04735
05.12.2000,0.04715
06.12.2000,0.04695
07.12.2000,0.04725
08.12.2000,0.04745
11.12.2000,0.04745
12.12.2000,0.04745
13.12.2000,0.04725
14.12.2000,0.04705
15.12.2000,0.04695
18.12.2000,0.04705
19.12.2000,0.04695
20.12.2000,0.04655
21.12.2000,0.04645
22.12.2000,0.04765
27.12.2000,0.04775
28.12.2000,0.04795
29.12.2000,0.05075
02.01.2001,0.04745
03.01.2001,0.04735
04.01.2001,0.04725
05.01.2001,0.04695
08.01.2001,0.04685
09.01.2001,0.04695
10.01.2001,0.04725
11.01.2001,0.04735
12.01.2001,0.04725
15.01.2001,0.04725
16.01.2001,0.04715
17.01.2001,0.04695
18.01.2001,0.04685
19.01.2001,0.04635
22.01.2001,0.04525
23.01.2001,0.04105
24.01.2001,0.04685
25.01.2001,0.04695
26.01.2001,0.04695
29.01.2001,0.04705
30.01.2001,0.04695
31.01.2001,0.04735
01.02.2001,0.04685
02.02.2001,0.04685
05.02.2001,0.04685
06.02.2001,0.04675
07.02.2001,0.04675
08.02.2001,0.04675
09.02.2001,0.04675
12.02.2001,0.04665
13.02.2001,0.04685
14.02.2001,0.04785
15.02.2001,0.04815
16.02.2001,0.04925
19.02.2001,0.05365
20.02.2001,0.05485
21.02.2001,0.05635
22.02.2001,0.05615
23.02.2001,0.04995
26.02.2001,0.04745
27.02.2001,0.04775
28.02.2001,0.04905
01.03.2001,0.04725
02.03.2001,0.04725
05.03.2001,0.04715
06.03.2001,0.04725
07.03.2001,0.04745
08.03.2001,0.04765
09.03.2001,0.04765
12.03.2001,0.04745
13.03.2001,0.04725
14.03.2001,0.04705
15.03.2001,0.04695
16.03.2001,0.04695
19.03.2001,0.04705
20.03.2001,0.04735
21.03.2001,0.04745
22.03.2001,0.04565
23.03.2001,0.04355
26.03.2001,0.04675
27.03.2001,0.04675
28.03.2001,0.04685
29.03.2001,0.04685
30.03.2001,0.04765
02.04.2001,0.04695
03.04.2001,0.04685
04.04.2001,0.04685
05.04.2001,0.04675
06.04.2001,0.04665
09.04.2001,0.04655
10.04.2001,0.04755
11.04.2001,0.05385
12.04.2001,0.05645
17.04.2001,0.05665
18.04.2001,0.05475
19.04.2001,0.05345
20.04.2001,0.05415
23.04.2001,0.05145
24.04.2001,0.04705
25.04.2001,0.04715
26.04.2001,0.04725
27.04.2001,0.04725
30.04.2001,0.04845
02.05.2001,0.04745
03.05.2001,0.04735
04.05.2001,0.04725
07.05.2001,0.04725
08.05.2001,0.04725
09.05.2001,0.04715
10.05.2001,0.04665
11.05.2001,0.04495
14.05.2001,0.04485
15.05.2001,0.04485
16.05.2001,0.04475
17.05.2001,0.04475
18.05.2001,0.04455
21.05.2001,0.04445
22.05.2001,0.04405
23.05.2001,0.04775
24.05.2001,0.04505
25.05.2001,0.04505
28.05.2001,0.04495
29.05.2001,0.04485
30.05.2001,0.04475
31.05.2001,0.04515
01.06.2001,0.04455
04.06.2001,0.04445
05.06.2001,0.04445
06.06.2001,0.04435
07.06.2001,0.04435
08.06.2001,0.04445
11.06.2001,0.04445
12.06.2001,0.04445
13.06.2001,0.04445
14.06.2001,0.04435
15.06.2001,0.04435
18.06.2001,0.04445
19.06.2001,0.04435
20.06.2001,0.04435
21.06.2001,0.04335
22.06.2001,0.04525
25.06.2001,0.04465
26.06.2001,0.04465
27.06.2001,0.04475
28.06.2001,0.04465
29.06.2001,0.04635
02.07.2001,0.04455
03.07.2001,0.04445
04.07.2001,0.04445
05.07.2001,0.04445
06.07.2001,0.04445
09.07.2001,0.04435
10.07.2001,0.04435
11.07.2001,0.04435
12.07.2001,0.04435
13.07.2001,0.04435
16.07.2001,0.04435
17.07.2001,0.04425
18.07.2001,0.04425
19.07.2001,0.04325
20.07.2001,0.04245
23.07.2001,0.04315
24.07.2001,0.04435
25.07.2001,0.04435
26.07.2001,0.04435
27.07.2001,0.04435
30.07.2001,0.04435
31.07.2001,0.04495
01.08.2001,0.04425
02.08.2001,0.04415
03.08.2001,0.04435
06.08.2001,0.04435
07.08.2001,0.04435
08.08.2001,0.04435
09.08.2001,0.04435
10.08.2001,0.04435
13.08.2001,0.04425
14.08.2001,0.04425
15.08.2001,0.04425
16.08.2001,0.04425
17.08.2001,0.04425
20.08.2001,0.04425
21.08.2001,0.04425
22.08.2001,0.04355
23.08.2001,0.04415
24.08.2001,0.04425
27.08.2001,0.04405
28.08.2001,0.04405
29.08.2001,0.04335
30.08.2001,0.04285
31.08.2001,0.04295
03.09.2001,0.04215
04.09.2001,0.04215
05.09.2001,0.04205
06.09.2001,0.04205
07.09.2001,0.04195
10.09.2001,0.04195
11.09.2001,0.04205
12.09.2001,0.04335
13.09.2001,0.04195
14.09.2001,0.04145
17.09.2001,0.04145
18.09.2001,0.03675
19.09.2001,0.03475
20.09.2001,0.03045
21.09.2001,0.03035
24.09.2001,0.03695
25.09.2001,0.03705
26.09.2001,0.03705
27.09.2001,0.03695
28.09.2001,0.03745
01.10.2001,0.03685
02.10.2001,0.03675
03.10.2001,0.03665
04.10.2001,0.03655
05.10.2001,0.03635
08.10.2001,0.03635
09.10.2001,0.03745
10.10.2001,0.03855
11.10.2001,0.03875
12.10.2001,0.03895
15.10.2001,0.03785
16.10.2001,0.03825
17.10.2001,0.04245
18.10.2001,0.04315
19.10.2001,0.04515
22.10.2001,0.04605
23.10.2001,0.04655
24.10.2001,0.03675
25.10.2001,0.03655
26.10.2001,0.03685
29.10.2001,0.03675
30.10.2001,0.03675
31.10.2001,0.03755
01.11.2001,0.03685
02.11.2001,0.03675
