date;ticker;bid;ask
2010-01-12;CNYRUB_FXForward_7D;4.2883;4.3336
2010-01-13;CNYRUB_FXForward_7D;4.2814;4.3253
2010-01-14;CNYRUB_FXForward_7D;4.3203;4.3634
2010-01-15;CNYRUB_FXForward_7D;4.2899;4.3316
2010-01-16;CNYRUB_FXForward_7D;4.3097;4.3503
2010-01-19;CNYRUB_FXForward_7D;4.3157;4.3551
2010-01-20;CNYRUB_FXForward_7D;4.3047;4.3428
2010-01-21;CNYRUB_FXForward_7D;4.3306;4.3679
2010-01-22;CNYRUB_FXForward_7D;4.3395;4.3757
2010-01-23;CNYRUB_FXForward_7D;4.3396;4.3747
2010-01-26;CNYRUB_FXForward_7D;4.3909;4.4257
2010-01-27;CNYRUB_FXForward_7D;4.4232;4.4574
2010-01-28;CNYRUB_FXForward_7D;4.4206;4.4537
2010-01-29;CNYRUB_FXForward_7D;4.4314;4.4636
2010-01-30;CNYRUB_FXForward_7D;4.442;4.4733
2010-02-02;CNYRUB_FXForward_7D;4.4377;4.468
2010-02-03;CNYRUB_FXForward_7D;4.4063;4.4357
2010-02-04;CNYRUB_FXForward_7D;4.3624;4.3909
2010-02-05;CNYRUB_FXForward_7D;4.3825;4.4103
2010-02-06;CNYRUB_FXForward_7D;4.4483;4.4765
2010-02-09;CNYRUB_FXForward_7D;4.4563;4.4838
2010-02-10;CNYRUB_FXForward_7D;4.4357;4.4623
2010-02-11;CNYRUB_FXForward_7D;4.4167;4.4424
2010-02-12;CNYRUB_FXForward_7D;4.3963;4.4212
2010-02-13;CNYRUB_FXForward_7D;4.4025;4.4267
2010-02-16;CNYRUB_FXForward_7D;4.4107;4.4343
2010-02-17;CNYRUB_FXForward_7D;4.396;4.4188
2010-02-18;CNYRUB_FXForward_7D;4.3757;4.3977
2010-02-19;CNYRUB_FXForward_7D;4.3961;4.4176
2010-02-20;CNYRUB_FXForward_7D;4.4046;4.4256
2010-02-25;CNYRUB_FXForward_7D;4.3885;4.4089
2010-02-26;CNYRUB_FXForward_7D;4.3922;4.412
2010-02-27;CNYRUB_FXForward_7D;4.3911;4.4102
2010-02-28;CNYRUB_FXForward_7D;4.3781;4.3966
2010-03-02;CNYRUB_FXForward_7D;4.3755;4.3935
2010-03-03;CNYRUB_FXForward_7D;4.3824;4.3999
2010-03-04;CNYRUB_FXForward_7D;4.3593;4.3763
2010-03-05;CNYRUB_FXForward_7D;4.3604;4.3769
2010-03-06;CNYRUB_FXForward_7D;4.3626;4.3786
2010-03-10;CNYRUB_FXForward_7D;4.3504;4.3659
2010-03-11;CNYRUB_FXForward_7D;4.3464;4.3615
2010-03-12;CNYRUB_FXForward_7D;4.3167;4.3315
2010-03-13;CNYRUB_FXForward_7D;4.2987;4.3131
2010-03-16;CNYRUB_FXForward_7D;4.2905;4.3045
2010-03-17;CNYRUB_FXForward_7D;4.3037;4.3174
2010-03-18;CNYRUB_FXForward_7D;4.27;4.2835
2010-03-19;CNYRUB_FXForward_7D;4.2743;4.2874
2010-03-20;CNYRUB_FXForward_7D;4.2796;4.2924
2010-03-23;CNYRUB_FXForward_7D;4.2908;4.3033
2010-03-24;CNYRUB_FXForward_7D;4.3109;4.3233
2010-03-25;CNYRUB_FXForward_7D;4.3265;4.3386
2010-03-26;CNYRUB_FXForward_7D;4.3373;4.3491
2010-03-27;CNYRUB_FXForward_7D;4.3171;4.3287
2010-03-30;CNYRUB_FXForward_7D;4.335;4.3464
2010-03-31;CNYRUB_FXForward_7D;4.296;4.3077
2010-04-01;CNYRUB_FXForward_7D;4.3153;4.3268
2010-04-02;CNYRUB_FXForward_7D;4.3069;4.318
2010-04-03;CNYRUB_FXForward_7D;4.2752;4.2864
2010-04-06;CNYRUB_FXForward_7D;4.2741;4.285
2010-04-07;CNYRUB_FXForward_7D;4.2786;4.2892
2010-04-08;CNYRUB_FXForward_7D;4.2868;4.2971
2010-04-09;CNYRUB_FXForward_7D;4.3023;4.3125
2010-04-10;CNYRUB_FXForward_7D;4.292;4.3019
2010-04-13;CNYRUB_FXForward_7D;4.2354;4.2464
2010-04-14;CNYRUB_FXForward_7D;4.2472;4.258
2010-04-15;CNYRUB_FXForward_7D;4.2498;4.2603
2010-04-16;CNYRUB_FXForward_7D;4.2334;4.2437
2010-04-17;CNYRUB_FXForward_7D;4.2485;4.2586
2010-04-20;CNYRUB_FXForward_7D;4.2722;4.2824
2010-04-21;CNYRUB_FXForward_7D;4.2642;4.274
2010-04-22;CNYRUB_FXForward_7D;4.2561;4.2657
2010-04-23;CNYRUB_FXForward_7D;4.2627;4.272
2010-04-24;CNYRUB_FXForward_7D;4.2826;4.2919
2010-04-27;CNYRUB_FXForward_7D;4.256;4.2654
2010-04-28;CNYRUB_FXForward_7D;4.253;4.2621
2010-04-29;CNYRUB_FXForward_7D;4.299;4.3091
2010-04-30;CNYRUB_FXForward_7D;4.2858;4.2957
2010-05-01;CNYRUB_FXForward_7D;4.2661;4.2758
2010-05-05;CNYRUB_FXForward_7D;4.2872;4.2969
2010-05-06;CNYRUB_FXForward_7D;4.3423;4.3534
2010-05-07;CNYRUB_FXForward_7D;4.431;4.4454
2010-05-08;CNYRUB_FXForward_7D;4.4922;4.5077
2010-05-12;CNYRUB_FXForward_7D;4.4386;4.4544
2010-05-13;CNYRUB_FXForward_7D;4.4162;4.4316
2010-05-14;CNYRUB_FXForward_7D;4.3649;4.3806
2010-05-15;CNYRUB_FXForward_7D;4.3953;4.4109
2010-05-18;CNYRUB_FXForward_7D;4.4868;4.505
2010-05-19;CNYRUB_FXForward_7D;4.4431;4.461
2010-05-20;CNYRUB_FXForward_7D;4.4867;4.5049
2010-05-21;CNYRUB_FXForward_7D;4.4953;4.513
2010-05-22;CNYRUB_FXForward_7D;4.54;4.5579
2010-05-25;CNYRUB_FXForward_7D;4.5134;4.5309
2010-05-26;CNYRUB_FXForward_7D;4.5923;4.6114
2010-05-27;CNYRUB_FXForward_7D;4.5804;4.5989
2010-05-28;CNYRUB_FXForward_7D;4.5105;4.5295
2010-05-29;CNYRUB_FXForward_7D;4.4547;4.4738
2010-06-01;CNYRUB_FXForward_7D;4.4921;4.5112
2010-06-02;CNYRUB_FXForward_7D;4.5399;4.5592
2010-06-03;CNYRUB_FXForward_7D;4.5568;4.5756
2010-06-04;CNYRUB_FXForward_7D;4.5149;4.5335
2010-06-05;CNYRUB_FXForward_7D;4.5403;4.5586
2010-06-08;CNYRUB_FXForward_7D;4.6423;4.6634
2010-06-09;CNYRUB_FXForward_7D;4.6183;4.6387
2010-06-10;CNYRUB_FXForward_7D;4.6366;4.6566
2010-06-11;CNYRUB_FXForward_7D;4.613;4.6324
2010-06-12;CNYRUB_FXForward_7D;4.594;4.6128
2010-06-16;CNYRUB_FXForward_7D;4.5947;4.613
2010-06-17;CNYRUB_FXForward_7D;4.5505;4.5686
2010-06-18;CNYRUB_FXForward_7D;4.5566;4.5742
2010-06-19;CNYRUB_FXForward_7D;4.5148;4.5322
2010-06-22;CNYRUB_FXForward_7D;4.5093;4.5262
2010-06-23;CNYRUB_FXForward_7D;4.5258;4.5423
2010-06-24;CNYRUB_FXForward_7D;4.5393;4.5554
2010-06-25;CNYRUB_FXForward_7D;4.5454;4.5611
2010-06-26;CNYRUB_FXForward_7D;4.5668;4.5822
2010-06-29;CNYRUB_FXForward_7D;4.5538;4.5687
2010-06-30;CNYRUB_FXForward_7D;4.5834;4.5982
2010-07-01;CNYRUB_FXForward_7D;4.5964;4.611
2010-07-02;CNYRUB_FXForward_7D;4.6175;4.6318
2010-07-03;CNYRUB_FXForward_7D;4.5982;4.6122
2010-07-06;CNYRUB_FXForward_7D;4.5883;4.6019
2010-07-07;CNYRUB_FXForward_7D;4.5855;4.5986
2010-07-08;CNYRUB_FXForward_7D;4.58;4.5928
2010-07-09;CNYRUB_FXForward_7D;4.5609;4.5733
2010-07-10;CNYRUB_FXForward_7D;4.5403;4.5525
2010-07-13;CNYRUB_FXForward_7D;4.5543;4.5663
2010-07-14;CNYRUB_FXForward_7D;4.5479;4.5595
2010-07-15;CNYRUB_FXForward_7D;4.5034;4.5154
2010-07-16;CNYRUB_FXForward_7D;4.5051;4.5167
2010-07-17;CNYRUB_FXForward_7D;4.4902;4.5016
2010-07-20;CNYRUB_FXForward_7D;4.5055;4.5167
2010-07-21;CNYRUB_FXForward_7D;4.481;4.4921
2010-07-22;CNYRUB_FXForward_7D;4.4809;4.4916
2010-07-23;CNYRUB_FXForward_7D;4.4972;4.5077
2010-07-24;CNYRUB_FXForward_7D;4.4774;4.4878
2010-07-27;CNYRUB_FXForward_7D;4.4637;4.4738
2010-07-28;CNYRUB_FXForward_7D;4.4563;4.4661
2010-07-29;CNYRUB_FXForward_7D;4.4505;4.46
2010-07-30;CNYRUB_FXForward_7D;4.4546;4.4638
2010-07-31;CNYRUB_FXForward_7D;4.4523;4.4613
2010-08-03;CNYRUB_FXForward_7D;4.4519;4.4606
2010-08-04;CNYRUB_FXForward_7D;4.4198;4.4288
2010-08-05;CNYRUB_FXForward_7D;4.3948;4.4038
2010-08-06;CNYRUB_FXForward_7D;4.4048;4.4136
2010-08-07;CNYRUB_FXForward_7D;4.403;4.4115
2010-08-10;CNYRUB_FXForward_7D;4.4029;4.4112
2010-08-11;CNYRUB_FXForward_7D;4.429;4.4375
2010-08-12;CNYRUB_FXForward_7D;4.4542;4.4629
2010-08-13;CNYRUB_FXForward_7D;4.4839;4.4929
2010-08-14;CNYRUB_FXForward_7D;4.4737;4.4825
2010-08-17;CNYRUB_FXForward_7D;4.4826;4.4912
2010-08-18;CNYRUB_FXForward_7D;4.4772;4.4855
2010-08-19;CNYRUB_FXForward_7D;4.4763;4.4844
2010-08-20;CNYRUB_FXForward_7D;4.4833;4.4911
2010-08-21;CNYRUB_FXForward_7D;4.4907;4.4984
2010-08-24;CNYRUB_FXForward_7D;4.4976;4.5051
2010-08-25;CNYRUB_FXForward_7D;4.5196;4.5273
2010-08-26;CNYRUB_FXForward_7D;4.5402;4.5479
2010-08-27;CNYRUB_FXForward_7D;4.5294;4.537
2010-08-28;CNYRUB_FXForward_7D;4.5114;4.5189
2010-08-31;CNYRUB_FXForward_7D;4.501;4.5084
2010-09-01;CNYRUB_FXForward_7D;4.5294;4.5371
2010-09-02;CNYRUB_FXForward_7D;4.5179;4.5254
2010-09-03;CNYRUB_FXForward_7D;4.5004;4.508
2010-09-04;CNYRUB_FXForward_7D;4.508;4.5154
2010-09-07;CNYRUB_FXForward_7D;4.5008;4.508
2010-09-08;CNYRUB_FXForward_7D;4.5237;4.5311
2010-09-09;CNYRUB_FXForward_7D;4.541;4.5484
2010-09-10;CNYRUB_FXForward_7D;4.5469;4.5541
2010-09-11;CNYRUB_FXForward_7D;4.5608;4.568
2010-09-14;CNYRUB_FXForward_7D;4.5335;4.5409
2010-09-15;CNYRUB_FXForward_7D;4.5492;4.5565
2010-09-16;CNYRUB_FXForward_7D;4.5591;4.5663
2010-09-17;CNYRUB_FXForward_7D;4.6049;4.6134
2010-09-18;CNYRUB_FXForward_7D;4.6171;4.6255
2010-09-21;CNYRUB_FXForward_7D;4.613;4.6211
2010-09-22;CNYRUB_FXForward_7D;4.634;4.6422
2010-09-23;CNYRUB_FXForward_7D;4.6175;4.6256
2010-09-24;CNYRUB_FXForward_7D;4.6206;4.6285
2010-09-25;CNYRUB_FXForward_7D;4.6125;4.6202
2010-09-28;CNYRUB_FXForward_7D;4.5691;4.5777
2010-09-29;CNYRUB_FXForward_7D;4.5667;4.575
2010-09-30;CNYRUB_FXForward_7D;4.5436;4.552
2010-10-01;CNYRUB_FXForward_7D;4.5567;4.5649
2010-10-02;CNYRUB_FXForward_7D;4.5565;4.5644
2010-10-05;CNYRUB_FXForward_7D;4.5534;4.5611
2010-10-06;CNYRUB_FXForward_7D;4.5457;4.5532
2010-10-07;CNYRUB_FXForward_7D;4.4616;4.4726
2010-10-08;CNYRUB_FXForward_7D;4.4239;4.4351
2010-10-09;CNYRUB_FXForward_7D;4.477;4.4893
2010-10-12;CNYRUB_FXForward_7D;4.466;4.4779
2010-10-13;CNYRUB_FXForward_7D;4.5023;4.5146
2010-10-14;CNYRUB_FXForward_7D;4.5101;4.5221
2010-10-15;CNYRUB_FXForward_7D;4.4937;4.5054
2010-10-16;CNYRUB_FXForward_7D;4.5286;4.5405
2010-10-19;CNYRUB_FXForward_7D;4.5878;4.601
2010-10-20;CNYRUB_FXForward_7D;4.5691;4.582
2010-10-21;CNYRUB_FXForward_7D;4.6227;4.6365
2010-10-22;CNYRUB_FXForward_7D;4.6175;4.6309
2010-10-23;CNYRUB_FXForward_7D;4.5746;4.5882
