date;ticker;bid;ask
2010-01-12;EURRUB_FXForward_7D;42.505;42.8312
2010-01-13;EURRUB_FXForward_7D;42.4569;42.7729
2010-01-14;EURRUB_FXForward_7D;42.7944;43.105
2010-01-15;EURRUB_FXForward_7D;42.6262;42.9266
2010-01-16;EURRUB_FXForward_7D;42.4452;42.7358
2010-01-19;EURRUB_FXForward_7D;42.4246;42.7062
2010-01-20;EURRUB_FXForward_7D;42.373;42.6458
2010-01-21;EURRUB_FXForward_7D;42.0154;42.2802
2010-01-22;EURRUB_FXForward_7D;41.8204;42.0766
2010-01-23;EURRUB_FXForward_7D;41.9329;42.1823
2010-01-26;EURRUB_FXForward_7D;42.4555;42.7061
2010-01-27;EURRUB_FXForward_7D;42.5838;42.8278
2010-01-28;EURRUB_FXForward_7D;42.4393;42.6755
2010-01-29;EURRUB_FXForward_7D;42.4696;42.6988
2010-01-30;EURRUB_FXForward_7D;42.3528;42.5746
2010-02-02;EURRUB_FXForward_7D;42.1113;42.3267
2010-02-03;EURRUB_FXForward_7D;41.9467;42.1553
2010-02-04;EURRUB_FXForward_7D;41.6618;41.8648
2010-02-05;EURRUB_FXForward_7D;41.5132;41.7098
2010-02-06;EURRUB_FXForward_7D;41.6222;41.8136
2010-02-09;EURRUB_FXForward_7D;41.6009;41.7865
2010-02-10;EURRUB_FXForward_7D;41.6098;41.7898
2010-02-11;EURRUB_FXForward_7D;41.5679;41.7423
2010-02-12;EURRUB_FXForward_7D;41.424;41.593
2010-02-13;EURRUB_FXForward_7D;41.0906;41.2568
2010-02-16;EURRUB_FXForward_7D;41.0287;41.1897
2010-02-17;EURRUB_FXForward_7D;41.0686;41.2248
2010-02-18;EURRUB_FXForward_7D;41.18;41.3322
2010-02-19;EURRUB_FXForward_7D;40.8069;40.9581
2010-02-20;EURRUB_FXForward_7D;40.5546;40.7024
2010-02-25;EURRUB_FXForward_7D;40.5781;40.7215
2010-02-26;EURRUB_FXForward_7D;40.4315;40.5709
2010-02-27;EURRUB_FXForward_7D;40.6874;40.8258
2010-02-28;EURRUB_FXForward_7D;40.7374;40.872
2010-03-02;EURRUB_FXForward_7D;40.6725;40.8029
2010-03-03;EURRUB_FXForward_7D;40.4633;40.5909
2010-03-04;EURRUB_FXForward_7D;40.5386;40.6628
2010-03-05;EURRUB_FXForward_7D;40.6608;40.7822
2010-03-06;EURRUB_FXForward_7D;40.4617;40.5805
2010-03-10;EURRUB_FXForward_7D;40.429;40.5442
2010-03-11;EURRUB_FXForward_7D;40.2806;40.3928
2010-03-12;EURRUB_FXForward_7D;40.1924;40.3014
2010-03-13;EURRUB_FXForward_7D;40.2082;40.3138
2010-03-16;EURRUB_FXForward_7D;40.2758;40.3786
2010-03-17;EURRUB_FXForward_7D;40.1847;40.2847
2010-03-18;EURRUB_FXForward_7D;40.2344;40.3316
2010-03-19;EURRUB_FXForward_7D;39.9091;40.0081
2010-03-20;EURRUB_FXForward_7D;39.7874;39.884
2010-03-23;EURRUB_FXForward_7D;39.5862;39.6816
2010-03-24;EURRUB_FXForward_7D;39.7764;39.8712
2010-03-25;EURRUB_FXForward_7D;39.669;39.7614
2010-03-26;EURRUB_FXForward_7D;39.4845;39.5757
2010-03-27;EURRUB_FXForward_7D;39.3361;39.4255
2010-03-30;EURRUB_FXForward_7D;39.815;39.9158
2010-03-31;EURRUB_FXForward_7D;39.6535;39.7521
2010-04-01;EURRUB_FXForward_7D;39.5232;39.6194
2010-04-02;EURRUB_FXForward_7D;39.678;39.773
2010-04-03;EURRUB_FXForward_7D;39.5841;39.6765
2010-04-06;EURRUB_FXForward_7D;39.3461;39.4383
2010-04-07;EURRUB_FXForward_7D;39.2117;39.3019
2010-04-08;EURRUB_FXForward_7D;39.1428;39.2304
2010-04-09;EURRUB_FXForward_7D;39.1099;39.1949
2010-04-10;EURRUB_FXForward_7D;39.1872;39.27
2010-04-13;EURRUB_FXForward_7D;39.4555;39.5409
2010-04-14;EURRUB_FXForward_7D;39.4415;39.5243
2010-04-15;EURRUB_FXForward_7D;39.5844;39.6662
2010-04-16;EURRUB_FXForward_7D;39.3981;39.4793
2010-04-17;EURRUB_FXForward_7D;39.2322;39.3124
2010-04-20;EURRUB_FXForward_7D;39.2484;39.3262
2010-04-21;EURRUB_FXForward_7D;39.1821;39.2577
2010-04-22;EURRUB_FXForward_7D;39.0548;39.129
2010-04-23;EURRUB_FXForward_7D;39.0053;39.0773
2010-04-24;EURRUB_FXForward_7D;38.7067;38.7823
2010-04-27;EURRUB_FXForward_7D;38.8333;38.9079
2010-04-28;EURRUB_FXForward_7D;38.8172;38.8896
2010-04-29;EURRUB_FXForward_7D;38.7465;38.8169
2010-04-30;EURRUB_FXForward_7D;38.6677;38.7363
2010-05-01;EURRUB_FXForward_7D;38.6653;38.7319
2010-05-05;EURRUB_FXForward_7D;38.5679;38.6329
2010-05-06;EURRUB_FXForward_7D;38.4825;38.5461
2010-05-07;EURRUB_FXForward_7D;38.6512;38.7154
2010-05-08;EURRUB_FXForward_7D;38.9148;38.9832
2010-05-12;EURRUB_FXForward_7D;38.5574;38.6322
2010-05-13;EURRUB_FXForward_7D;38.1528;38.2352
2010-05-14;EURRUB_FXForward_7D;37.7977;37.8847
2010-05-15;EURRUB_FXForward_7D;37.6858;37.7706
2010-05-18;EURRUB_FXForward_7D;37.715;37.7974
2010-05-19;EURRUB_FXForward_7D;37.5821;37.6627
2010-05-20;EURRUB_FXForward_7D;37.3804;37.4608
2010-05-21;EURRUB_FXForward_7D;37.9898;38.0914
2010-05-22;EURRUB_FXForward_7D;38.9404;39.0826
2010-05-25;EURRUB_FXForward_7D;38.5448;38.687
2010-05-26;EURRUB_FXForward_7D;38.5357;38.6735
2010-05-27;EURRUB_FXForward_7D;38.4451;38.5787
2010-05-28;EURRUB_FXForward_7D;37.9177;38.0561
2010-05-29;EURRUB_FXForward_7D;37.5627;37.7005
2010-06-01;EURRUB_FXForward_7D;37.7456;37.881
2010-06-02;EURRUB_FXForward_7D;37.966;38.1
2010-06-03;EURRUB_FXForward_7D;38.0459;38.1763
2010-06-04;EURRUB_FXForward_7D;37.9484;38.075
2010-06-05;EURRUB_FXForward_7D;37.786;37.9092
2010-06-08;EURRUB_FXForward_7D;37.8565;37.9765
2010-06-09;EURRUB_FXForward_7D;37.7751;37.8915
2010-06-10;EURRUB_FXForward_7D;37.8862;37.9998
2010-06-11;EURRUB_FXForward_7D;37.9663;38.0771
2010-06-12;EURRUB_FXForward_7D;38.0443;38.1521
2010-06-16;EURRUB_FXForward_7D;38.2764;38.3842
2010-06-17;EURRUB_FXForward_7D;38.3666;38.4718
2010-06-18;EURRUB_FXForward_7D;38.21;38.3128
2010-06-19;EURRUB_FXForward_7D;38.2062;38.3058
2010-06-22;EURRUB_FXForward_7D;38.2187;38.3153
2010-06-23;EURRUB_FXForward_7D;37.9849;38.0811
2010-06-24;EURRUB_FXForward_7D;37.9776;38.0708
2010-06-25;EURRUB_FXForward_7D;38.1885;38.2819
2010-06-26;EURRUB_FXForward_7D;38.2868;38.378
2010-06-29;EURRUB_FXForward_7D;38.2697;38.3581
2010-06-30;EURRUB_FXForward_7D;38.1431;38.2295
2010-07-01;EURRUB_FXForward_7D;38.1677;38.2517
2010-07-02;EURRUB_FXForward_7D;38.262;38.3442
2010-07-03;EURRUB_FXForward_7D;38.939;39.0466
2010-07-06;EURRUB_FXForward_7D;38.9782;39.0828
2010-07-07;EURRUB_FXForward_7D;39.0512;39.153
2010-07-08;EURRUB_FXForward_7D;39.0832;39.182
2010-07-09;EURRUB_FXForward_7D;39.1135;39.2095
2010-07-10;EURRUB_FXForward_7D;39.082;39.175
2010-07-13;EURRUB_FXForward_7D;38.825;38.9182
2010-07-14;EURRUB_FXForward_7D;38.6889;38.7801
2010-07-15;EURRUB_FXForward_7D;38.7646;38.8534
2010-07-16;EURRUB_FXForward_7D;38.8618;38.9488
2010-07-17;EURRUB_FXForward_7D;39.2781;39.3735
2010-07-20;EURRUB_FXForward_7D;39.3905;39.4841
2010-07-21;EURRUB_FXForward_7D;39.4849;39.5763
2010-07-22;EURRUB_FXForward_7D;39.1677;39.2613
2010-07-23;EURRUB_FXForward_7D;38.9033;38.9973
2010-07-24;EURRUB_FXForward_7D;39.0787;39.1719
2010-07-27;EURRUB_FXForward_7D;39.1545;39.2453
2010-07-28;EURRUB_FXForward_7D;39.2693;39.3585
2010-07-29;EURRUB_FXForward_7D;39.2917;39.3783
2010-07-30;EURRUB_FXForward_7D;39.3251;39.4091
2010-07-31;EURRUB_FXForward_7D;39.4282;39.5106
2010-08-03;EURRUB_FXForward_7D;39.4254;39.5052
2010-08-04;EURRUB_FXForward_7D;39.4113;39.4887
2010-08-05;EURRUB_FXForward_7D;39.3405;39.4157
2010-08-06;EURRUB_FXForward_7D;39.2034;39.2774
2010-08-07;EURRUB_FXForward_7D;39.3228;39.3958
2010-08-10;EURRUB_FXForward_7D;39.5731;39.6489
2010-08-11;EURRUB_FXForward_7D;39.4866;39.5604
2010-08-12;EURRUB_FXForward_7D;39.4058;39.4776
2010-08-13;EURRUB_FXForward_7D;39.2655;39.3363
2010-08-14;EURRUB_FXForward_7D;39.1827;39.2519
2010-08-17;EURRUB_FXForward_7D;39.0528;39.1208
2010-08-18;EURRUB_FXForward_7D;39.0817;39.1479
2010-08-19;EURRUB_FXForward_7D;39.0192;39.0836
2010-08-20;EURRUB_FXForward_7D;38.9988;39.0612
2010-08-21;EURRUB_FXForward_7D;39.0619;39.1227
2010-08-24;EURRUB_FXForward_7D;38.8823;38.9439
2010-08-25;EURRUB_FXForward_7D;38.8363;38.8961
2010-08-26;EURRUB_FXForward_7D;39.0581;39.1207
2010-08-27;EURRUB_FXForward_7D;39.1603;39.2219
2010-08-28;EURRUB_FXForward_7D;39.0002;39.062
2010-08-31;EURRUB_FXForward_7D;38.9992;39.059
2010-09-01;EURRUB_FXForward_7D;38.9837;39.0417
2010-09-02;EURRUB_FXForward_7D;39.1361;39.1947
2010-09-03;EURRUB_FXForward_7D;39.2609;39.3193
2010-09-04;EURRUB_FXForward_7D;39.322;39.379
2010-09-07;EURRUB_FXForward_7D;39.4436;39.5004
2010-09-08;EURRUB_FXForward_7D;39.293;39.35
2010-09-09;EURRUB_FXForward_7D;39.2672;39.3224
2010-09-10;EURRUB_FXForward_7D;39.1595;39.2141
2010-09-11;EURRUB_FXForward_7D;39.1652;39.2182
2010-09-14;EURRUB_FXForward_7D;39.2969;39.3501
2010-09-15;EURRUB_FXForward_7D;39.4985;39.5543
2010-09-16;EURRUB_FXForward_7D;39.877;39.9444
2010-09-17;EURRUB_FXForward_7D;40.2776;40.3556
2010-09-18;EURRUB_FXForward_7D;40.7656;40.8574
2010-09-21;EURRUB_FXForward_7D;40.4954;40.5878
2010-09-22;EURRUB_FXForward_7D;40.603;40.6936
2010-09-23;EURRUB_FXForward_7D;41.172;41.2788
2010-09-24;EURRUB_FXForward_7D;41.4834;41.5926
2010-09-25;EURRUB_FXForward_7D;41.2055;41.3143
2010-09-28;EURRUB_FXForward_7D;41.1692;41.2748
2010-09-29;EURRUB_FXForward_7D;41.037;41.1398
2010-09-30;EURRUB_FXForward_7D;41.2962;41.4
2010-10-01;EURRUB_FXForward_7D;41.3885;41.4899
2010-10-02;EURRUB_FXForward_7D;41.6099;41.7113
2010-10-05;EURRUB_FXForward_7D;41.9227;42.0267
2010-10-06;EURRUB_FXForward_7D;41.6638;41.7674
2010-10-07;EURRUB_FXForward_7D;41.3494;41.454
2010-10-08;EURRUB_FXForward_7D;41.3057;41.4071
2010-10-09;EURRUB_FXForward_7D;41.6196;41.7238
2010-10-12;EURRUB_FXForward_7D;41.6095;41.7105
2010-10-13;EURRUB_FXForward_7D;41.5405;41.6385
2010-10-14;EURRUB_FXForward_7D;41.9917;42.0985
2010-10-15;EURRUB_FXForward_7D;42.1063;42.2107
2010-10-16;EURRUB_FXForward_7D;42.3416;42.4462
2010-10-19;EURRUB_FXForward_7D;42.307;42.4084
2010-10-20;EURRUB_FXForward_7D;42.2491;42.3475
2010-10-21;EURRUB_FXForward_7D;42.3927;42.4895
2010-10-22;EURRUB_FXForward_7D;42.8257;42.9305
2010-10-23;EURRUB_FXForward_7D;42.4818;42.5884
2010-10-26;EURRUB_FXForward_7D;42.4458;42.5492
2010-10-27;EURRUB_FXForward_7D;42.4157;42.5159
2010-10-28;EURRUB_FXForward_7D;42.1338;42.2344
2010-10-29;EURRUB_FXForward_7D;42.3809;42.4823
2010-10-30;EURRUB_FXForward_7D;42.6739;42.7773
2010-11-02;EURRUB_FXForward_7D;42.9327;43.0369
2010-11-03;EURRUB_FXForward_7D;42.8641;42.9653
2010-11-04;EURRUB_FXForward_7D;43.1144;43.2164
2010-11-09;EURRUB_FXForward_7D;42.9353;43.0355
2010-11-10;EURRUB_FXForward_7D;42.7304;42.8292
2010-11-11;EURRUB_FXForward_7D;42.2472;42.3536
2010-11-12;EURRUB_FXForward_7D;42.0063;42.1117
2010-11-13;EURRUB_FXForward_7D;41.8262;41.9296
2010-11-14;EURRUB_FXForward_7D;42.1774;42.2848
2010-11-16;EURRUB_FXForward_7D;42.1194;42.2236
2010-11-17;EURRUB_FXForward_7D;42.1669;42.2681
2010-11-18;EURRUB_FXForward_7D;42.237;42.3356
2010-11-19;EURRUB_FXForward_7D;42.3586;42.4552
2010-11-20;EURRUB_FXForward_7D;42.31;42.4036
2010-11-23;EURRUB_FXForward_7D;42.5888;42.6846
2010-11-24;EURRUB_FXForward_7D;42.3559;42.4513
2010-11-25;EURRUB_FXForward_7D;41.8649;41.9687
2010-11-26;EURRUB_FXForward_7D;41.6443;41.7469
2010-11-27;EURRUB_FXForward_7D;41.5694;41.669
2010-11-30;EURRUB_FXForward_7D;41.5199;41.6165
2010-12-01;EURRUB_FXForward_7D;41.029;41.1338
2010-12-02;EURRUB_FXForward_7D;41.0112;41.1128
2010-12-03;EURRUB_FXForward_7D;41.1774;41.2778
2010-12-04;EURRUB_FXForward_7D;41.2883;41.3865
2010-12-07;EURRUB_FXForward_7D;41.7148;41.8206
2010-12-08;EURRUB_FXForward_7D;41.601;41.704
2010-12-09;EURRUB_FXForward_7D;41.2189;41.3251
2010-12-10;EURRUB_FXForward_7D;41.1591;41.2621
2010-12-11;EURRUB_FXForward_7D;40.888;40.9908
2010-12-14;EURRUB_FXForward_7D;40.754;40.8544
2010-12-15;EURRUB_FXForward_7D;41.238;41.3484
2010-12-16;EURRUB_FXForward_7D;40.8282;40.942
2010-12-17;EURRUB_FXForward_7D;40.6239;40.7357
2010-12-18;EURRUB_FXForward_7D;40.7432;40.8526
2010-12-21;EURRUB_FXForward_7D;40.4508;40.5602
2010-12-22;EURRUB_FXForward_7D;40.419;40.525
2010-12-23;EURRUB_FXForward_7D;40.3066;40.4098
2010-12-24;EURRUB_FXForward_7D;40.1199;40.2213
2010-12-25;EURRUB_FXForward_7D;40.1057;40.2039
2010-12-28;EURRUB_FXForward_7D;40.0117;40.1071
2010-12-29;EURRUB_FXForward_7D;39.9763;40.0689
2010-12-30;EURRUB_FXForward_7D;39.8559;39.9463
2010-12-31;EURRUB_FXForward_7D;40.2836;40.3826
2011-01-01;EURRUB_FXForward_7D;40.4388;40.5364
2011-01-12;EURRUB_FXForward_7D;39.5436;39.6716
2011-01-13;EURRUB_FXForward_7D;39.4533;39.5775
2011-01-14;EURRUB_FXForward_7D;39.4213;39.5417
2011-01-15;EURRUB_FXForward_7D;40.0585;40.1943
2011-01-18;EURRUB_FXForward_7D;39.9019;40.0341
2011-01-19;EURRUB_FXForward_7D;39.8425;39.9707
2011-01-20;EURRUB_FXForward_7D;40.1253;40.2537
2011-01-21;EURRUB_FXForward_7D;40.149;40.2736
2011-01-22;EURRUB_FXForward_7D;40.5169;40.6445
2011-01-25;EURRUB_FXForward_7D;40.5006;40.6242
2011-01-26;EURRUB_FXForward_7D;40.6421;40.7633
2011-01-27;EURRUB_FXForward_7D;40.661;40.7786
2011-01-28;EURRUB_FXForward_7D;40.5634;40.6776
2011-01-29;EURRUB_FXForward_7D;40.5933;40.7041
2011-02-01;EURRUB_FXForward_7D;40.5274;40.6348
2011-02-02;EURRUB_FXForward_7D;40.6839;40.7897
2011-02-03;EURRUB_FXForward_7D;40.6745;40.7771
2011-02-04;EURRUB_FXForward_7D;40.4774;40.5784
2011-02-05;EURRUB_FXForward_7D;40.0285;40.1353
2011-02-08;EURRUB_FXForward_7D;39.9073;40.0113
2011-02-09;EURRUB_FXForward_7D;39.8388;39.9396
2011-02-10;EURRUB_FXForward_7D;39.9378;40.0364
2011-02-11;EURRUB_FXForward_7D;40.0865;40.1835
2011-02-12;EURRUB_FXForward_7D;39.7165;39.8169
2011-02-15;EURRUB_FXForward_7D;39.5548;39.6532
2011-02-16;EURRUB_FXForward_7D;39.4223;39.5183
2011-02-17;EURRUB_FXForward_7D;39.6322;39.7282
2011-02-18;EURRUB_FXForward_7D;39.6356;39.7286
2011-02-19;EURRUB_FXForward_7D;39.7228;39.8136
2011-02-22;EURRUB_FXForward_7D;39.8422;39.9314
2011-02-23;EURRUB_FXForward_7D;39.6352;39.7238
2011-02-25;EURRUB_FXForward_7D;39.9825;40.0763
2011-02-26;EURRUB_FXForward_7D;39.9619;40.0527
2011-03-01;EURRUB_FXForward_7D;39.7687;39.8585
2011-03-02;EURRUB_FXForward_7D;39.6782;39.7656
2011-03-03;EURRUB_FXForward_7D;39.3523;39.4425
2011-03-04;EURRUB_FXForward_7D;39.2312;39.3192
2011-03-05;EURRUB_FXForward_7D;39.3047;39.3905
