date;ticker;bid;ask
2010-01-12;EURUSD_FXForward_7D;1.4478;1.452
2010-01-13;EURUSD_FXForward_7D;1.4486;1.4526
2010-01-14;EURUSD_FXForward_7D;1.447;1.451
2010-01-15;EURUSD_FXForward_7D;1.4516;1.4554
2010-01-16;EURUSD_FXForward_7D;1.4388;1.4428
2010-01-19;EURUSD_FXForward_7D;1.4363;1.4401
2010-01-20;EURUSD_FXForward_7D;1.4382;1.442
2010-01-21;EURUSD_FXForward_7D;1.4173;1.4215
2010-01-22;EURUSD_FXForward_7D;1.4081;1.4121
2010-01-23;EURUSD_FXForward_7D;1.4119;1.4159
2010-01-26;EURUSD_FXForward_7D;1.413;1.4168
2010-01-27;EURUSD_FXForward_7D;1.4069;1.4107
2010-01-28;EURUSD_FXForward_7D;1.4031;1.4067
2010-01-29;EURUSD_FXForward_7D;1.4007;1.4043
2010-01-30;EURUSD_FXForward_7D;1.3936;1.3972
2010-02-02;EURUSD_FXForward_7D;1.3871;1.3905
2010-02-03;EURUSD_FXForward_7D;1.3915;1.3949
2010-02-04;EURUSD_FXForward_7D;1.3961;1.3995
2010-02-05;EURUSD_FXForward_7D;1.3851;1.3885
2010-02-06;EURUSD_FXForward_7D;1.3674;1.3712
2010-02-09;EURUSD_FXForward_7D;1.3645;1.3681
2010-02-10;EURUSD_FXForward_7D;1.3711;1.3747
2010-02-11;EURUSD_FXForward_7D;1.3755;1.3789
2010-02-12;EURUSD_FXForward_7D;1.3762;1.3796
2010-02-13;EURUSD_FXForward_7D;1.3634;1.367
2010-02-16;EURUSD_FXForward_7D;1.3586;1.362
2010-02-17;EURUSD_FXForward_7D;1.3645;1.3679
2010-02-18;EURUSD_FXForward_7D;1.3746;1.378
2010-02-19;EURUSD_FXForward_7D;1.3557;1.3595
2010-02-20;EURUSD_FXForward_7D;1.3456;1.3494
2010-02-25;EURUSD_FXForward_7D;1.3517;1.3555
2010-02-26;EURUSD_FXForward_7D;1.3459;1.3495
2010-02-27;EURUSD_FXForward_7D;1.3549;1.3587
2010-02-28;EURUSD_FXForward_7D;1.3607;1.3643
2010-03-02;EURUSD_FXForward_7D;1.3593;1.3629
2010-03-03;EURUSD_FXForward_7D;1.3501;1.3537
2010-03-04;EURUSD_FXForward_7D;1.36;1.3636
2010-03-05;EURUSD_FXForward_7D;1.3637;1.3673
2010-03-06;EURUSD_FXForward_7D;1.3564;1.3598
2010-03-10;EURUSD_FXForward_7D;1.3592;1.3626
2010-03-11;EURUSD_FXForward_7D;1.3553;1.3587
2010-03-12;EURUSD_FXForward_7D;1.3618;1.365
2010-03-13;EURUSD_FXForward_7D;1.3683;1.3715
2010-03-16;EURUSD_FXForward_7D;1.3731;1.3763
2010-03-17;EURUSD_FXForward_7D;1.3658;1.369
2010-03-18;EURUSD_FXForward_7D;1.3782;1.3816
2010-03-19;EURUSD_FXForward_7D;1.3657;1.3691
2010-03-20;EURUSD_FXForward_7D;1.3599;1.3633
2010-03-23;EURUSD_FXForward_7D;1.3492;1.3526
2010-03-24;EURUSD_FXForward_7D;1.3496;1.353
2010-03-25;EURUSD_FXForward_7D;1.3411;1.3445
2010-03-26;EURUSD_FXForward_7D;1.3312;1.3346
2010-03-27;EURUSD_FXForward_7D;1.3327;1.3359
2010-03-30;EURUSD_FXForward_7D;1.3437;1.3471
2010-03-31;EURUSD_FXForward_7D;1.3504;1.3538
2010-04-01;EURUSD_FXForward_7D;1.3399;1.3433
2010-04-02;EURUSD_FXForward_7D;1.3477;1.3511
2010-04-03;EURUSD_FXForward_7D;1.3546;1.358
2010-04-06;EURUSD_FXForward_7D;1.3469;1.3503
2010-04-07;EURUSD_FXForward_7D;1.3408;1.3442
2010-04-08;EURUSD_FXForward_7D;1.3361;1.3393
2010-04-09;EURUSD_FXForward_7D;1.3301;1.3333
2010-04-10;EURUSD_FXForward_7D;1.3362;1.3394
2010-04-13;EURUSD_FXForward_7D;1.3626;1.3668
2010-04-14;EURUSD_FXForward_7D;1.3581;1.3621
2010-04-15;EURUSD_FXForward_7D;1.3623;1.3663
2010-04-16;EURUSD_FXForward_7D;1.3613;1.3651
2010-04-17;EURUSD_FXForward_7D;1.3508;1.3546
2010-04-20;EURUSD_FXForward_7D;1.3437;1.3475
2010-04-21;EURUSD_FXForward_7D;1.3442;1.3478
2010-04-22;EURUSD_FXForward_7D;1.342;1.3456
2010-04-23;EURUSD_FXForward_7D;1.3386;1.342
2010-04-24;EURUSD_FXForward_7D;1.3216;1.3254
2010-04-27;EURUSD_FXForward_7D;1.3344;1.3382
2010-04-28;EURUSD_FXForward_7D;1.335;1.3388
2010-04-29;EURUSD_FXForward_7D;1.318;1.322
