date;ticker;bid;ask
1999-01-05;EUR_OIS_ESTR_10Y;0.03105;0.03125
1999-01-06;EUR_OIS_ESTR_10Y;0.031134;0.031366
1999-01-07;EUR_OIS_ESTR_10Y;0.031137;0.031363
1999-01-08;EUR_OIS_ESTR_10Y;0.031141;0.031359
1999-01-11;EUR_OIS_ESTR_10Y;0.030993;0.031307
1999-01-12;EUR_OIS_ESTR_10Y;0.030858;0.031242
1999-01-13;EUR_OIS_ESTR_10Y;0.030731;0.031169
1999-01-14;EUR_OIS_ESTR_10Y;0.030435;0.031065
1999-01-15;EUR_OIS_ESTR_10Y;0.029389;0.030911
1999-01-18;EUR_OIS_ESTR_10Y;0.028163;0.030537
1999-01-19;EUR_OIS_ESTR_10Y;0.027709;0.030191
1999-01-20;EUR_OIS_ESTR_10Y;0.027997;0.030503
1999-01-21;EUR_OIS_ESTR_10Y;0.028214;0.030686
1999-01-22;EUR_OIS_ESTR_10Y;0.028564;0.031136
1999-01-25;EUR_OIS_ESTR_10Y;0.029062;0.032038
1999-01-26;EUR_OIS_ESTR_10Y;0.029633;0.033067
1999-01-27;EUR_OIS_ESTR_10Y;0.028484;0.032416
1999-01-28;EUR_OIS_ESTR_10Y;0.028441;0.032259
1999-01-29;EUR_OIS_ESTR_10Y;0.028842;0.032658
1999-02-01;EUR_OIS_ESTR_10Y;0.028996;0.032704
1999-02-02;EUR_OIS_ESTR_10Y;0.029149;0.032751
1999-02-03;EUR_OIS_ESTR_10Y;0.029204;0.032696
1999-02-04;EUR_OIS_ESTR_10Y;0.029153;0.032547
1999-02-05;EUR_OIS_ESTR_10Y;0.028988;0.032312
1999-02-08;EUR_OIS_ESTR_10Y;0.029039;0.032261
1999-02-09;EUR_OIS_ESTR_10Y;0.028871;0.032029
1999-02-10;EUR_OIS_ESTR_10Y;0.028814;0.031886
1999-02-11;EUR_OIS_ESTR_10Y;0.028643;0.031657
1999-02-12;EUR_OIS_ESTR_10Y;0.028471;0.031429
1999-02-15;EUR_OIS_ESTR_10Y;0.028297;0.031203
1999-02-16;EUR_OIS_ESTR_10Y;0.028122;0.030978
1999-02-17;EUR_OIS_ESTR_10Y;0.028061;0.030839
1999-02-18;EUR_OIS_ESTR_10Y;0.027998;0.030702
1999-02-19;EUR_OIS_ESTR_10Y;0.028134;0.030766
1999-02-22;EUR_OIS_ESTR_10Y;0.028353;0.030947
1999-02-23;EUR_OIS_ESTR_10Y;0.028954;0.036146
1999-02-24;EUR_OIS_ESTR_10Y;0.026194;0.034706
1999-02-25;EUR_OIS_ESTR_10Y;0.026117;0.034383
1999-02-26;EUR_OIS_ESTR_10Y;0.026342;0.034358
1999-03-01;EUR_OIS_ESTR_10Y;0.026464;0.034236
1999-03-02;EUR_OIS_ESTR_10Y;0.02648;0.03402
1999-03-03;EUR_OIS_ESTR_10Y;0.026279;0.033621
