date;ticker;bid;ask
2013-09-18;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-09-19;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-09-20;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-09-21;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-09-22;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-09-23;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-09-24;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-09-25;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-09-26;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-09-27;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-09-28;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-09-29;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-09-30;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-01;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-02;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-03;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-04;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-05;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-06;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-07;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-08;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-09;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-10;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-11;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-12;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-13;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-14;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-15;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-16;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-17;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-18;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-19;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-20;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-21;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-22;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-23;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-24;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-25;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-26;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-27;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-28;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-29;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-30;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-10-31;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-01;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-02;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-03;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-04;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-05;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-06;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-07;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-08;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-09;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-10;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-11;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-12;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-13;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-14;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-15;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-16;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-17;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-18;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-19;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-20;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-21;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-22;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-23;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-24;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-25;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-26;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-27;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-28;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-29;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-11-30;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-01;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-02;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-03;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-04;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-05;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-06;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-07;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-08;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-09;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-10;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-11;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-12;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-13;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-14;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-15;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-16;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-17;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-18;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-19;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-20;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-21;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-22;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-23;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-24;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-25;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-26;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-27;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
2013-12-28;RUB_IRS_KEYRATE_10Y;0.0549;0.0551
