date;ticker;bid;ask
2013-02-03;RUB_OIS_RUONIA_10Y;0.055192;0.055392
2013-02-04;RUB_OIS_RUONIA_10Y;0.055183;0.055383
2013-02-05;RUB_OIS_RUONIA_10Y;0.050347;0.055653
2013-02-06;RUB_OIS_RUONIA_10Y;0.049178;0.054822
2013-02-07;RUB_OIS_RUONIA_10Y;0.048824;0.054376
2013-02-08;RUB_OIS_RUONIA_10Y;0.045688;0.053112
2013-02-09;RUB_OIS_RUONIA_10Y;0.044197;0.052003
2013-02-10;RUB_OIS_RUONIA_10Y;0.04431;0.051878
2013-02-11;RUB_OIS_RUONIA_10Y;0.044419;0.051755
2013-02-12;RUB_OIS_RUONIA_10Y;0.04626;0.05874
2013-02-13;RUB_OIS_RUONIA_10Y;0.046645;0.058755
2013-02-14;RUB_OIS_RUONIA_10Y;0.048206;0.060594
2013-02-15;RUB_OIS_RUONIA_10Y;0.049647;0.062153
2013-02-16;RUB_OIS_RUONIA_10Y;0.051159;0.063841
2013-02-17;RUB_OIS_RUONIA_10Y;0.051343;0.063639
2013-02-18;RUB_OIS_RUONIA_10Y;0.051522;0.063442
2013-02-19;RUB_OIS_RUONIA_10Y;0.054015;0.068585
2013-02-20;RUB_OIS_RUONIA_10Y;0.04965;0.06595
2013-02-21;RUB_OIS_RUONIA_10Y;0.050556;0.066444
2013-02-22;RUB_OIS_RUONIA_10Y;0.052177;0.068023
2013-02-23;RUB_OIS_RUONIA_10Y;0.052004;0.067396
2013-02-24;RUB_OIS_RUONIA_10Y;0.052229;0.067151
2013-02-25;RUB_OIS_RUONIA_10Y;0.052446;0.066914
2013-02-26;RUB_OIS_RUONIA_10Y;0.053968;0.068432
2013-02-27;RUB_OIS_RUONIA_10Y;0.053772;0.067828
2013-02-28;RUB_OIS_RUONIA_10Y;0.051601;0.065999
2013-03-01;RUB_OIS_RUONIA_10Y;0.0539;0.0693
2013-03-02;RUB_OIS_RUONIA_10Y;0.051781;0.067419
2013-03-03;RUB_OIS_RUONIA_10Y;0.052009;0.067171
2013-03-04;RUB_OIS_RUONIA_10Y;0.052231;0.066931
2013-03-05;RUB_OIS_RUONIA_10Y;0.052857;0.067143
2013-03-06;RUB_OIS_RUONIA_10Y;0.05443;0.06877
2013-03-07;RUB_OIS_RUONIA_10Y;0.056332;0.071068
2013-03-08;RUB_OIS_RUONIA_10Y;0.057297;0.071703
2013-03-09;RUB_OIS_RUONIA_10Y;0.057505;0.071473
2013-03-10;RUB_OIS_RUONIA_10Y;0.057706;0.071248
2013-03-11;RUB_OIS_RUONIA_10Y;0.057901;0.071031
2013-03-12;RUB_OIS_RUONIA_10Y;0.053305;0.068495
2013-03-13;RUB_OIS_RUONIA_10Y;0.047536;0.065464
2013-03-14;RUB_OIS_RUONIA_10Y;0.044279;0.062921
2013-03-15;RUB_OIS_RUONIA_10Y;0.047929;0.069671
2013-03-16;RUB_OIS_RUONIA_10Y;0.046853;0.068147
2013-03-17;RUB_OIS_RUONIA_10Y;0.047168;0.067814
2013-03-18;RUB_OIS_RUONIA_10Y;0.047473;0.067491
2013-03-19;RUB_OIS_RUONIA_10Y;0.049444;0.069356
2013-03-20;RUB_OIS_RUONIA_10Y;0.043609;0.065791
2013-03-21;RUB_OIS_RUONIA_10Y;0.046396;0.069004
2013-03-22;RUB_OIS_RUONIA_10Y;0.046435;0.068365
2013-03-23;RUB_OIS_RUONIA_10Y;0.048442;0.070158
2013-03-24;RUB_OIS_RUONIA_10Y;0.048763;0.069817
2013-03-25;RUB_OIS_RUONIA_10Y;0.049075;0.069487
2013-03-26;RUB_OIS_RUONIA_10Y;0.05174;0.07266
2013-03-27;RUB_OIS_RUONIA_10Y;0.051434;0.071766
2013-03-28;RUB_OIS_RUONIA_10Y;0.048957;0.069443
2013-03-29;RUB_OIS_RUONIA_10Y;0.051074;0.071526
2013-03-30;RUB_OIS_RUONIA_10Y;0.052733;0.072867
2013-03-31;RUB_OIS_RUONIA_10Y;0.053029;0.072549
2013-04-01;RUB_OIS_RUONIA_10Y;0.053315;0.072241
2013-04-02;RUB_OIS_RUONIA_10Y;0.049275;0.069325
2013-04-03;RUB_OIS_RUONIA_10Y;0.04958;0.06902
2013-04-04;RUB_OIS_RUONIA_10Y;0.049877;0.068723
