date;ticker;bid;ask
2010-01-12;USDRUB_FXForward_7D;29.2731;29.5835
2010-01-13;USDRUB_FXForward_7D;29.2271;29.5277
2010-01-14;USDRUB_FXForward_7D;29.4933;29.7885
2010-01-15;USDRUB_FXForward_7D;29.2874;29.5724
2010-01-16;USDRUB_FXForward_7D;29.4214;29.6992
2010-01-19;USDRUB_FXForward_7D;29.4614;29.7312
2010-01-20;USDRUB_FXForward_7D;29.3879;29.6489
2010-01-21;USDRUB_FXForward_7D;29.5665;29.8217
2010-01-22;USDRUB_FXForward_7D;29.6247;29.8725
2010-01-23;USDRUB_FXForward_7D;29.6257;29.8659
2010-01-26;USDRUB_FXForward_7D;29.9754;30.2138
2010-01-27;USDRUB_FXForward_7D;30.1967;30.4305
2010-01-28;USDRUB_FXForward_7D;30.1788;30.4054
2010-01-29;USDRUB_FXForward_7D;30.2529;30.4733
2010-01-30;USDRUB_FXForward_7D;30.3241;30.5383
2010-02-02;USDRUB_FXForward_7D;30.2958;30.5034
2010-02-03;USDRUB_FXForward_7D;30.0825;30.2835
2010-02-04;USDRUB_FXForward_7D;29.7802;29.9756
2010-02-05;USDRUB_FXForward_7D;29.9101;30.1007
2010-02-06;USDRUB_FXForward_7D;30.3698;30.5634
2010-02-09;USDRUB_FXForward_7D;30.4218;30.6098
2010-02-10;USDRUB_FXForward_7D;30.2825;30.4645
2010-02-11;USDRUB_FXForward_7D;30.1581;30.3343
2010-02-12;USDRUB_FXForward_7D;30.0392;30.2098
2010-02-13;USDRUB_FXForward_7D;30.0767;30.2423
2010-02-16;USDRUB_FXForward_7D;30.1402;30.3012
2010-02-17;USDRUB_FXForward_7D;30.0396;30.1956
2010-02-18;USDRUB_FXForward_7D;29.9005;30.0517
2010-02-19;USDRUB_FXForward_7D;30.0399;30.1877
2010-02-20;USDRUB_FXForward_7D;30.0792;30.2228
2010-02-25;USDRUB_FXForward_7D;29.9613;30.1005
2010-02-26;USDRUB_FXForward_7D;29.9846;30.1196
2010-02-27;USDRUB_FXForward_7D;29.9733;30.1043
2010-02-28;USDRUB_FXForward_7D;29.885;30.0118
2010-03-02;USDRUB_FXForward_7D;29.8685;29.9915
2010-03-03;USDRUB_FXForward_7D;29.9181;30.0377
2010-03-04;USDRUB_FXForward_7D;29.7558;29.8722
2010-03-05;USDRUB_FXForward_7D;29.7652;29.8782
2010-03-06;USDRUB_FXForward_7D;29.7818;29.8914
2010-03-10;USDRUB_FXForward_7D;29.6968;29.803
2010-03-11;USDRUB_FXForward_7D;29.6734;29.7764
2010-03-12;USDRUB_FXForward_7D;29.4688;29.5702
2010-03-13;USDRUB_FXForward_7D;29.3404;29.439
2010-03-16;USDRUB_FXForward_7D;29.2875;29.3831
2010-03-17;USDRUB_FXForward_7D;29.3775;29.4709
2010-03-18;USDRUB_FXForward_7D;29.1462;29.2392
2010-03-19;USDRUB_FXForward_7D;29.1772;29.2674
2010-03-20;USDRUB_FXForward_7D;29.2127;29.3003
2010-03-23;USDRUB_FXForward_7D;29.2961;29.3817
2010-03-24;USDRUB_FXForward_7D;29.4285;29.5129
2010-03-25;USDRUB_FXForward_7D;29.535;29.6178
2010-03-26;USDRUB_FXForward_7D;29.6167;29.6977
2010-03-27;USDRUB_FXForward_7D;29.4745;29.5539
2010-03-30;USDRUB_FXForward_7D;29.5918;29.67
2010-03-31;USDRUB_FXForward_7D;29.3238;29.4038
2010-04-01;USDRUB_FXForward_7D;29.4561;29.5351
2010-04-02;USDRUB_FXForward_7D;29.4011;29.4777
2010-04-03;USDRUB_FXForward_7D;29.1809;29.2579
2010-04-06;USDRUB_FXForward_7D;29.1723;29.2471
2010-04-07;USDRUB_FXForward_7D;29.2053;29.2779
2010-04-08;USDRUB_FXForward_7D;29.2587;29.3293
2010-04-09;USDRUB_FXForward_7D;29.3655;29.4351
2010-04-10;USDRUB_FXForward_7D;29.2893;29.3571
2010-04-13;USDRUB_FXForward_7D;28.9051;28.9805
2010-04-14;USDRUB_FXForward_7D;28.9925;29.0663
2010-04-15;USDRUB_FXForward_7D;29.0086;29.0802
2010-04-16;USDRUB_FXForward_7D;28.8959;28.9661
2010-04-17;USDRUB_FXForward_7D;28.998;29.067
2010-04-20;USDRUB_FXForward_7D;29.1622;29.2316
2010-04-21;USDRUB_FXForward_7D;29.1044;29.1718
2010-04-22;USDRUB_FXForward_7D;29.0579;29.1233
2010-04-23;USDRUB_FXForward_7D;29.097;29.1606
2010-04-24;USDRUB_FXForward_7D;29.2424;29.3062
2010-04-27;USDRUB_FXForward_7D;29.0561;29.1203
2010-04-28;USDRUB_FXForward_7D;29.0312;29.0934
2010-04-29;USDRUB_FXForward_7D;29.3455;29.4147
2010-04-30;USDRUB_FXForward_7D;29.2548;29.3224
2010-05-01;USDRUB_FXForward_7D;29.1204;29.187
2010-05-05;USDRUB_FXForward_7D;29.2649;29.3315
2010-05-06;USDRUB_FXForward_7D;29.6431;29.7193
2010-05-07;USDRUB_FXForward_7D;30.2479;30.3463
2010-05-08;USDRUB_FXForward_7D;30.6663;30.7723
2010-05-12;USDRUB_FXForward_7D;30.307;30.4148
2010-05-13;USDRUB_FXForward_7D;30.1522;30.2574
2010-05-14;USDRUB_FXForward_7D;29.8063;29.9131
2010-05-15;USDRUB_FXForward_7D;30.0044;30.1106
2010-05-18;USDRUB_FXForward_7D;30.6366;30.7606
2010-05-19;USDRUB_FXForward_7D;30.3331;30.4561
2010-05-20;USDRUB_FXForward_7D;30.6331;30.7575
2010-05-21;USDRUB_FXForward_7D;30.6919;30.8127
2010-05-22;USDRUB_FXForward_7D;30.9964;31.1188
2010-05-25;USDRUB_FXForward_7D;30.8157;30.9351
2010-05-26;USDRUB_FXForward_7D;31.3639;31.4947
2010-05-27;USDRUB_FXForward_7D;31.2904;31.4172
2010-05-28;USDRUB_FXForward_7D;30.8135;30.9437
2010-05-29;USDRUB_FXForward_7D;30.4303;30.5609
2010-06-01;USDRUB_FXForward_7D;30.675;30.805
2010-06-02;USDRUB_FXForward_7D;31.0043;31.1361
2010-06-03;USDRUB_FXForward_7D;31.1256;31.2544
2010-06-04;USDRUB_FXForward_7D;30.8301;30.9575
2010-06-05;USDRUB_FXForward_7D;31.0058;31.1312
2010-06-08;USDRUB_FXForward_7D;31.7076;31.852
2010-06-09;USDRUB_FXForward_7D;31.5499;31.6901
2010-06-10;USDRUB_FXForward_7D;31.6618;31.7986
2010-06-11;USDRUB_FXForward_7D;31.5077;31.6407
2010-06-12;USDRUB_FXForward_7D;31.3826;31.5116
2010-06-16;USDRUB_FXForward_7D;31.3969;31.5221
2010-06-17;USDRUB_FXForward_7D;31.0946;31.2186
2010-06-18;USDRUB_FXForward_7D;31.1252;31.2456
2010-06-19;USDRUB_FXForward_7D;30.8242;30.9438
2010-06-22;USDRUB_FXForward_7D;30.6685;30.7849
2010-06-23;USDRUB_FXForward_7D;30.8386;30.9534
2010-06-24;USDRUB_FXForward_7D;30.9135;31.0253
2010-06-25;USDRUB_FXForward_7D;30.9605;31.0693
2010-06-26;USDRUB_FXForward_7D;31.0232;31.129
2010-06-29;USDRUB_FXForward_7D;30.932;31.0346
2010-06-30;USDRUB_FXForward_7D;31.1441;31.2467
2010-07-01;USDRUB_FXForward_7D;31.2055;31.3053
2010-07-02;USDRUB_FXForward_7D;31.3214;31.4192
2010-07-03;USDRUB_FXForward_7D;31.1462;31.2422
2010-07-06;USDRUB_FXForward_7D;31.0658;31.159
2010-07-07;USDRUB_FXForward_7D;31.0672;31.1576
2010-07-08;USDRUB_FXForward_7D;31.0484;31.136
2010-07-09;USDRUB_FXForward_7D;30.905;30.9908
